,Price,SquareFootage,NumBathrooms,NumBedrooms,BackyardSpace,CrimeRate,SchoolRating,AgeOfHome,DistanceToCityCenter,EmploymentRate,RenovationQualityRate
30,129388.2699,550.0,2,2,902.1,39.23,2,60.25,44.37,92.14,2
31,282855.1167,550.0,2,3,135.08,39.45,5,28.71,30.42,99.9,8
32,171418.0448,1272.98,1,1,439.48,44.4,4,104.43,10.51,92.81,3
33,356250.7195,1881.78,3,2,31.56,5.18,10,48.85,10.23,93.98,7
34,459577.8498,1061.97,2,5,333.14,31.09,8,7.25,34.39,91.82,7
35,474262.431,1477.56,4,4,1071.19,25.58,8,44.02,23.52,99.9,6
36,551271.1624,1259.78,3,4,550.08,54.61,8,68.01,27.13,91.41,6
37,143197.3936,1225.68,2,2,277.91,50.76,8,126.53,4.78,94.75,3
38,220449.0188,641.92,2,4,728.7,1.13,9,92.3,15.02,99.07,6
39,183257.9263,1067.69,1,3,313.38,26.3,7,40.59,1.02,85.43,2
40,338942.4888,1544.53,1,4,677.97,2.88,10,17.8,13.3,99.9,6
41,456965.1835,1790.88,3,2,695.61,20.81,9,24.52,30.63,87.88,4
42,285175.2294,1114.3,2,4,821.15,52.77,5,16.89,5.29,86.69,3
43,267888.0566,968.6,4,3,625.87,45.22,7,13.54,2.28,96.71,6
44,197044.3929,550.0,3,3,322.77,29.04,7,30.58,29.27,97.48,7
45,198393.1279,842.16,3,1,509.27,20.73,4,35.88,36.54,98.54,3
46,340473.0578,979.4,1,4,651.09,76.65,7,24.69,16.67,93.44,6
47,153653.6431,550.0,1,3,163.98,48.13,6,81.83,25.94,85.44,5
48,315305.8611,1298.5,2,3,307.21,22.51,6,33.31,6.76,95.91,5
49,470536.3101,1594.17,2,4,567.07,0.05,10,25.66,10.42,98.1,7
50,321465.721,551.61,3,3,547.19,35.1,5,32.35,13.3,96.05,5
51,257606.4882,678.71,3,4,524.98,20.75,7,54.64,39.12,86.4,5
52,141906.3328,550.0,1,3,402.81,1.55,5,56.19,25.44,98.3,4
53,191199.6967,550.0,1,3,746.43,46.2,7,113.42,0.72,90.73,4
54,214544.3699,1108.17,1,3,599.08,34.18,4,41.57,27.91,99.9,5
55,197318.2591,556.22,1,4,233.88,48.64,9,42.32,13.08,98.9,4
56,286606.7534,877.48,2,3,10.29,41.36,8,29.63,24.03,89.98,5
57,262908.9842,550.0,2,4,614.11,27.62,9,88.31,25.87,91.95,8
58,104494.1398,550.0,1,3,152.62,41.49,4,77.29,6.96,91.23,4
59,600382.1171,1747.09,2,3,911.97,29.24,10,48.65,4.61,98.27,6
60,204273.6783,906.49,2,3,699.35,57.0,7,107.8,52.74,90.5,6
61,113545.7587,550.0,1,3,272.87,10.16,5,138.66,40.12,91.94,3
62,459577.1829,1044.97,3,5,672.27,15.47,8,52.31,15.42,99.9,6
63,382797.6505,1554.72,1,5,633.52,12.7,8,48.77,20.87,95.78,5
64,414962.7495,1222.16,1,4,620.8,57.28,6,97.86,5.6,86.51,8
65,265124.8389,1193.27,1,3,514.51,29.36,7,38.72,15.62,92.71,2
66,443253.3088,1486.54,3,5,590.92,26.56,7,31.47,3.2,93.34,8
67,562151.053,1286.17,3,6,387.44,21.56,7,17.5,0.23,95.34,3
68,391309.264,1422.5,3,3,610.96,18.95,8,13.98,2.36,99.06,5
69,293993.3106,1233.39,2,3,1103.46,42.39,6,32.33,39.45,91.12,4
70,356616.8564,1645.41,1,2,528.26,24.92,7,44.71,10.4,93.68,7
71,158916.1659,550.0,1,2,422.75,43.77,4,32.67,35.18,95.9,2
72,323339.5808,1032.34,3,3,221.1,72.3,7,32.45,20.49,96.54,4
73,255996.8651,1535.57,2,2,867.01,6.26,9,30.99,18.84,99.58,6
74,290455.1881,1513.75,2,4,462.52,31.62,7,32.43,32.14,98.58,3
76,443988.6118,1016.27,4,2,401.64,39.96,9,20.9,31.14,92.1,7
77,358519.7049,1864.95,3,3,855.28,16.03,10,53.04,19.61,99.37,9
78,455877.0274,1029.31,4,2,412.54,44.29,6,86.13,22.07,91.83,6
79,103212.0744,550.0,1,3,458.89,49.0,4,76.35,7.26,90.91,3
80,239822.1002,972.44,1,3,181.58,72.18,7,38.06,35.95,94.53,4
81,190286.3937,1287.85,1,1,587.45,18.23,6,3.49,18.77,87.73,3
82,384299.924,1257.82,1,3,479.92,8.17,5,6.75,27.73,90.28,2
83,355509.5762,1138.98,2,4,97.15,43.64,8,19.46,14.61,95.72,5
84,380408.5489,938.17,1,4,116.05,29.16,9,87.07,32.27,94.59,6
85,255046.6856,897.34,2,3,465.82,29.83,5,64.15,27.25,91.53,5
86,462244.0767,1391.17,1,4,494.7,40.47,6,33.02,4.93,99.9,5
87,410697.6667,939.61,1,4,419.2,10.14,9,62.77,2.35,82.76,3
88,341453.6385,708.49,1,4,937.85,34.27,8,41.12,0.51,89.85,4
89,145164.6243,982.12,1,2,906.47,37.93,9,120.0,22.46,81.31,4
90,597561.8821,1427.45,3,4,14.46,30.83,9,40.0,10.83,89.91,6
91,138399.473,550.0,1,3,1007.36,42.32,6,1.42,12.24,93.81,2
92,200794.2658,1195.55,1,3,445.23,29.9,5,76.24,27.14,94.45,3
93,280736.3999,897.88,3,5,292.13,10.98,10,39.69,13.39,94.46,5
94,268783.2257,922.14,2,2,498.24,36.83,4,50.06,18.08,88.56,6
95,188922.9338,1117.43,2,2,546.97,32.53,7,42.19,31.63,91.03,4
96,243173.1802,1620.01,2,2,940.72,35.52,6,44.53,6.41,95.22,4
97,482609.8577,979.53,2,4,673.71,9.91,8,58.37,7.94,92.24,4
98,329468.1081,1408.7,1,3,1053.13,42.0,8,74.13,1.46,93.46,7
99,168330.4741,783.13,2,2,372.3,52.89,4,83.51,8.74,91.1,2
101,105659.5162,628.88,2,1,179.77,41.63,4,45.89,28.63,92.71,2
102,416597.0363,1138.0,2,4,300.71,10.83,10,12.93,13.93,99.43,7
103,283619.0625,1761.22,1,3,1100.2,8.96,9,44.13,7.79,94.47,7
104,515034.703,1294.28,3,4,781.13,25.49,5,13.26,1.9,89.12,5
105,622313.4809,1135.3,3,4,756.1,41.46,8,0.16,10.72,94.64,6
107,363985.391,778.54,3,3,861.69,25.78,6,108.38,0.79,93.43,6
108,372486.1554,1866.18,2,3,1059.36,41.54,8,21.74,24.62,91.43,6
109,517017.3736,1458.01,2,3,360.62,42.61,10,94.43,3.71,99.9,7
110,96581.15482,1171.46,1,3,656.11,23.59,3,38.31,14.56,91.04,3
111,189805.7933,603.88,3,3,663.77,49.29,10,58.78,5.71,99.9,6
112,492082.8928,1216.56,2,4,624.93,8.96,10,69.65,20.57,98.1,8
113,98513.09269,550.0,2,2,500.92,9.39,8,14.3,15.68,95.91,3
114,334199.9353,1289.46,1,4,667.17,41.11,9,46.35,23.49,86.95,6
115,138503.6879,710.29,1,4,588.34,43.08,8,63.61,8.06,98.34,4
116,329886.498,1974.31,1,2,926.42,29.23,9,7.79,0.73,95.19,6
117,470665.0211,1364.59,2,3,89.46,39.6,6,57.09,7.57,97.3,5
118,197143.7222,568.77,2,3,58.05,75.0,4,0.02,6.3,87.0,5
119,209382.3033,762.27,2,3,545.06,27.68,5,60.25,20.37,86.13,3
120,219051.4837,860.5,1,4,316.29,28.98,7,66.86,15.93,86.46,5
121,241370.1502,930.21,2,2,566.0,40.66,4,34.76,26.76,94.9,6
122,348708.1724,1393.42,3,3,708.88,0.91,5,11.7,0.8,99.9,5
123,188197.7996,1012.32,1,4,256.97,50.62,9,59.56,3.9,91.81,5
125,153304.2906,1032.08,1,2,530.8,21.44,5,4.13,14.57,94.57,1
126,605064.1428,1642.1,3,3,1076.98,30.47,7,8.38,3.18,82.12,7
127,660109.3536,1526.53,2,6,1276.59,13.63,8,71.51,2.5,90.55,8
128,195802.9462,550.0,2,5,626.78,13.12,6,29.23,3.56,99.9,5
129,265790.3215,808.65,1,5,624.84,34.01,7,21.94,10.78,87.85,3
130,167792.6953,550.0,2,2,113.42,34.42,6,16.15,16.07,94.11,3
131,244689.5845,1239.22,1,4,704.29,15.15,7,38.71,14.52,96.98,6
132,249935.6617,1004.76,1,2,838.79,30.1,4,29.4,21.78,99.11,4
134,452288.5216,1906.63,2,5,308.92,64.06,8,37.18,11.48,89.51,8
135,172692.171,550.0,3,1,290.28,17.7,5,5.79,16.49,89.02,4
136,216118.7539,782.67,1,4,510.22,33.65,6,41.73,20.43,94.48,6
138,365858.4583,1233.94,2,3,963.69,40.04,5,44.03,49.67,91.71,1
139,99267.04837,550.0,3,2,242.65,45.42,9,3.12,17.34,91.12,3
140,98169.57031,690.15,2,3,215.54,7.89,5,54.57,29.26,89.36,1
141,137434.8608,1536.98,1,1,267.89,23.77,7,93.62,25.63,93.45,5
142,267385.6889,718.96,4,3,786.18,44.73,5,42.3,31.59,97.29,6
143,456955.7679,838.39,3,5,347.59,20.33,10,10.5,1.85,93.1,5
144,148261.471,1064.61,1,3,401.68,7.05,10,0.67,9.93,97.96,4
145,372086.4342,1014.11,3,3,908.45,17.96,10,64.42,38.18,94.87,7
146,92938.70913,960.39,2,1,56.01,48.45,5,45.56,19.38,99.9,5
147,302758.8424,854.37,1,3,300.71,23.05,4,34.93,7.47,91.53,3
148,450049.6827,1929.23,3,5,564.42,51.54,10,11.34,2.89,96.37,9
150,174263.9779,550.0,1,2,288.91,45.92,3,68.46,25.51,89.52,4
151,477659.6964,1564.88,4,3,697.54,37.87,8,39.27,10.11,86.3,2
152,299931.0375,1447.86,2,4,717.05,12.55,8,32.86,6.49,94.7,4
153,256483.9589,1195.99,1,3,604.53,16.13,8,40.76,15.44,99.9,6
154,236691.7614,917.28,1,3,662.34,10.57,6,8.89,36.92,94.55,3
155,264839.3572,1456.13,1,2,505.8,18.49,7,17.64,18.58,93.8,4
156,219115.0432,946.99,1,3,507.04,72.72,8,1.59,16.94,93.96,5
157,111551.2801,752.35,2,1,723.63,53.33,6,61.57,39.25,98.83,5
158,173749.1011,550.0,2,4,80.0,62.86,5,36.86,8.79,89.06,3
159,163923.6526,866.92,2,2,490.14,28.7,5,29.55,7.82,83.79,6
160,275767.8705,995.68,1,3,110.33,38.76,7,9.83,9.36,82.78,4
161,268596.5887,574.35,1,4,792.79,6.61,4,9.45,16.48,95.41,7
162,152156.6843,550.0,3,2,752.61,25.2,3,45.4,8.39,91.15,2
163,257395.0336,785.79,2,3,329.29,29.53,8,56.2,4.07,93.31,6
164,386716.6117,948.01,3,4,735.23,37.11,7,61.08,0.49,91.44,7
165,450120.2274,1323.84,4,1,541.45,30.8,7,72.15,1.95,99.7,6
166,165109.7744,550.0,1,2,424.8,35.81,6,53.91,10.86,90.25,5
167,573083.1594,1516.73,1,3,149.41,25.37,7,32.96,2.07,90.16,8
168,279091.9309,1530.02,1,4,175.19,45.09,9,101.8,27.47,92.41,5
169,292393.51,1223.17,2,3,100.38,36.79,7,41.37,22.61,93.04,7
170,280145.9092,550.0,1,3,430.67,30.91,7,71.45,23.98,96.57,6
171,425329.428,841.64,2,2,642.0,28.13,7,51.07,0.3,89.03,4
172,110414.4485,550.0,1,3,192.6,34.62,6,86.63,48.12,99.29,3
175,235149.0994,857.78,3,3,615.54,27.79,3,25.63,12.94,94.34,4
176,556413.2707,1194.44,4,3,565.41,21.81,10,3.8,13.02,92.97,6
177,268927.7861,550.0,3,3,652.27,14.79,8,4.84,13.41,95.65,9
178,380920.0576,652.85,3,4,655.21,21.09,6,68.43,6.85,96.15,5
179,197633.9779,1198.14,2,1,137.93,6.15,7,54.8,5.9,94.9,6
180,198687.8753,1413.38,2,3,380.84,36.26,8,39.59,20.49,95.51,1
181,313323.3904,1259.71,3,4,482.01,33.45,8,10.05,3.39,88.1,5
182,184014.233,1151.89,1,2,782.58,70.69,3,63.99,22.19,94.01,3
183,338485.1269,1732.38,1,2,432.37,25.88,5,58.8,33.94,96.77,3
184,423017.0623,1493.58,3,3,129.92,45.13,7,82.23,17.26,98.65,6
185,252873.0692,1435.02,1,2,820.63,49.85,4,43.35,0.23,95.63,5
186,144270.6511,966.05,2,3,366.65,56.62,9,7.85,40.41,93.52,3
187,511443.7364,1416.23,4,4,461.51,34.96,8,2.43,14.07,99.9,8
188,247938.1754,588.65,4,3,577.26,24.47,7,53.95,12.29,87.31,5
189,227842.6556,671.09,2,3,1075.03,44.77,6,46.21,19.07,98.68,3
190,313708.945,652.65,2,4,854.55,48.39,6,77.11,3.21,89.19,4
191,223576.1619,1040.39,2,3,363.11,10.43,8,12.24,1.5,86.69,5
192,542695.4537,1325.64,2,3,568.87,43.44,6,9.83,17.53,87.37,2
193,379709.2558,1778.46,1,5,657.76,63.4,9,53.84,3.29,91.84,6
194,220975.2677,550.0,2,4,699.71,32.22,8,101.98,16.26,94.4,3
195,300755.5043,1427.72,3,4,659.9,11.33,7,36.95,20.68,92.33,3
196,127334.7909,550.0,1,3,621.03,39.89,3,52.95,20.42,94.63,1
197,210881.4665,1481.33,1,3,373.24,21.49,7,39.41,14.53,83.86,5
198,287109.9397,1176.46,2,4,660.02,26.29,8,40.96,29.55,93.88,6
199,323479.2753,1593.06,3,4,973.46,10.63,9,72.49,8.12,99.8,10
200,468984.6839,1492.0,5,3,610.47,17.85,7,1.82,7.29,84.79,10
201,157124.4944,693.72,2,2,867.88,27.4,6,6.11,15.4,92.96,4
203,290806.1083,550.0,1,2,592.31,58.94,6,74.28,46.55,90.79,1
204,323473.5061,1331.18,2,3,88.42,3.0,8,33.76,9.35,89.09,6
205,312489.6979,985.8,2,3,380.07,33.39,6,1.45,25.72,99.9,3
206,358084.3671,1379.4,2,1,39.47,38.54,4,36.29,24.7,92.66,4
207,276698.6903,645.97,1,3,306.13,39.96,4,65.6,2.79,91.41,3
208,216506.6648,1286.25,2,2,213.99,54.66,6,46.13,19.1,91.85,7
209,237931.6911,1103.49,1,4,1027.16,9.82,6,24.47,26.09,84.54,3
210,191119.5959,1550.84,1,3,480.93,41.67,5,71.79,15.21,92.67,6
211,288481.2046,976.42,2,2,272.46,18.71,9,24.42,36.69,95.31,5
212,256648.7761,884.1,1,4,926.52,19.2,10,98.18,2.28,93.39,6
213,670334.3299,1399.82,3,5,546.74,7.05,8,21.09,10.19,98.56,7
215,172624.5777,593.12,2,2,205.52,48.09,4,15.01,9.78,97.62,7
216,340874.8921,550.0,2,4,374.41,25.36,8,71.2,8.27,93.87,5
217,158374.7565,600.01,1,1,922.82,23.37,8,39.03,4.57,91.45,2
218,214599.2362,1034.3,1,3,193.7,21.15,9,24.45,1.56,98.29,5
219,657127.9763,1761.18,3,5,48.26,15.11,8,46.07,7.59,87.61,6
220,175680.1302,906.93,1,1,851.72,40.62,7,29.21,10.02,95.75,7
221,318949.998,988.48,1,4,597.16,1.22,5,57.42,20.55,87.73,4
222,409990.2258,1900.51,1,3,815.84,32.11,10,49.15,8.39,99.9,6
223,129221.7779,1316.02,1,1,377.5,30.89,4,86.61,7.37,99.9,2
224,153917.287,1099.39,2,2,473.78,30.55,5,77.29,33.23,88.82,6
225,128863.451,1344.89,1,2,102.77,14.53,8,82.25,17.88,91.66,2
226,104735.1932,550.0,1,2,342.05,37.68,4,11.35,47.23,91.46,5
227,680379.2709,1411.04,1,5,465.67,37.83,5,63.68,2.26,91.82,8
228,324162.0997,550.0,3,4,547.29,39.86,8,14.48,19.81,99.9,5
229,145990.4461,550.0,3,1,581.43,1.24,5,50.41,22.87,96.36,2
230,373332.3341,1199.21,2,2,562.34,66.9,7,59.89,39.01,84.63,6
231,160332.0108,581.4,1,3,454.75,9.17,10,58.29,27.87,96.59,5
232,488214.642,2299.19,2,2,315.0,36.45,7,85.36,32.72,81.58,5
233,383062.9673,1114.36,5,2,505.49,26.67,7,37.75,19.23,99.9,4
234,130991.5648,550.0,1,2,71.09,31.67,4,136.09,27.2,95.22,1
236,543193.7648,1812.59,2,2,641.93,52.88,7,139.03,28.98,99.67,7
237,265068.4697,1142.34,2,3,543.48,42.96,9,25.78,0.76,94.98,6
238,226312.606,830.87,1,3,548.86,34.28,8,50.18,26.37,96.39,7
239,381030.2686,1138.02,2,3,624.6,28.96,6,70.5,12.2,90.6,4
240,518293.9497,1467.33,2,4,153.22,46.37,7,37.99,19.18,99.9,5
241,156581.1599,720.82,2,2,875.02,33.01,6,64.39,18.36,92.89,5
242,225726.3565,550.0,4,2,1043.79,46.13,7,52.41,5.03,91.57,7
243,489889.2199,1120.54,3,4,556.24,27.84,10,35.65,15.37,94.9,7
244,660281.9581,1529.95,4,3,182.81,41.32,6,21.28,16.32,92.75,9
245,215416.4879,1913.94,1,1,468.23,2.21,4,0.86,6.35,85.61,4
246,155116.99,868.62,2,3,206.64,30.34,10,24.76,7.67,99.9,6
247,640803.1033,1599.75,3,4,802.63,23.38,10,53.49,28.04,99.9,5
248,301380.6057,550.0,2,4,447.39,27.65,9,23.59,33.71,98.95,5
249,551667.0323,1484.37,5,1,220.67,4.54,9,37.66,2.99,99.9,5
250,298345.4482,1016.49,2,3,499.0,17.68,9,68.21,16.87,95.96,7
251,288106.0885,1284.7,3,2,453.26,28.69,7,45.37,11.43,96.58,2
252,566227.9255,1146.53,2,4,493.91,32.84,9,38.74,11.25,92.68,8
253,236381.0551,1028.83,2,4,739.36,10.24,8,65.38,23.16,99.9,5
254,165044.0344,1220.33,1,3,470.58,3.27,5,29.08,28.17,94.51,1
255,458112.4045,648.52,2,4,756.06,64.15,5,23.21,30.69,96.21,4
256,235650.2469,1540.02,1,4,956.39,25.36,5,3.63,10.65,90.56,3
257,348718.2566,1269.7,3,2,792.87,29.09,4,44.28,8.33,86.42,5
258,336313.9307,722.64,2,4,254.76,40.79,4,81.42,46.05,94.02,4
259,211883.045,1067.3,3,2,665.83,11.73,6,20.03,29.33,94.46,8
260,135240.9527,550.0,2,1,175.5,45.15,4,73.93,25.49,94.04,4
262,185061.8277,1107.73,1,2,510.97,14.31,5,101.21,23.65,96.34,2
263,249029.7925,550.0,2,4,129.04,31.96,6,21.36,11.46,94.35,6
264,128433.5857,786.48,3,1,247.96,34.43,7,58.07,26.77,99.15,1
265,119661.8405,550.0,1,2,427.19,33.22,7,3.64,14.83,86.33,2
266,203073.0997,550.0,4,3,683.43,6.52,10,99.07,31.77,99.9,6
267,223625.846,896.66,2,2,780.08,24.65,7,66.69,17.39,91.35,4
268,114541.7742,550.0,2,3,136.88,25.14,4,98.56,22.28,90.32,2
269,115209.9412,715.11,2,1,993.74,48.18,4,52.98,22.15,87.58,3
270,184676.9077,1113.4,1,3,479.39,30.42,6,6.75,25.91,97.69,4
271,483538.6537,593.3,3,4,757.83,29.29,8,36.45,11.09,91.46,3
272,252206.3363,996.4,2,2,462.37,34.75,5,121.06,36.63,83.16,2
273,299416.7236,807.07,3,2,445.1,0.3,5,59.04,30.26,86.31,2
274,157820.79,550.0,1,2,678.37,2.88,10,66.75,46.7,97.92,6
275,239896.6105,1149.13,2,2,727.37,24.04,7,38.34,16.9,94.0,6
276,322889.1985,1241.4,3,3,663.77,49.7,7,64.95,22.4,99.9,5
277,207397.7233,550.0,2,3,290.65,27.16,7,108.3,0.82,92.38,1
278,194645.6957,550.0,1,2,459.12,31.68,7,43.19,34.65,94.78,1
279,163370.4662,550.0,1,4,258.23,21.5,6,64.94,21.91,94.33,6
280,340631.8618,980.86,2,4,717.95,31.73,6,14.69,23.59,93.12,3
281,206316.8392,550.0,3,3,381.77,7.15,6,50.5,4.3,95.08,1
282,381358.9809,1236.22,1,4,344.69,5.85,8,16.1,13.77,91.36,2
283,239145.3146,759.92,1,4,237.53,19.42,7,72.37,20.92,99.9,5
284,348803.1786,1508.69,4,2,581.1,9.35,6,46.99,23.86,90.06,8
285,222458.8726,748.24,1,3,109.07,7.19,10,56.47,8.84,90.36,7
286,579176.5925,1396.47,3,3,989.85,1.44,6,111.41,15.64,97.34,6
287,397345.969,2043.27,2,2,715.98,43.17,5,8.58,20.28,99.9,6
288,125803.2263,550.0,2,2,279.77,23.71,6,10.11,29.45,88.13,4
289,349805.471,1284.04,2,3,727.56,44.01,8,11.36,10.13,99.9,4
290,373841.5628,1024.7,1,3,827.3,12.85,9,13.88,9.28,99.9,5
291,168185.3541,604.96,4,1,511.42,36.02,6,47.66,2.78,92.78,6
292,378609.6357,1179.33,3,2,424.35,33.38,10,7.33,33.96,98.96,6
293,188442.1053,694.97,2,3,489.78,66.84,6,48.91,21.78,87.59,2
294,247234.9113,550.0,2,3,622.44,45.71,7,57.65,13.26,96.1,3
295,361249.6732,1236.56,1,5,533.95,18.63,9,44.17,32.49,93.48,6
296,360643.2227,550.0,2,4,130.93,21.83,6,7.03,5.71,95.18,2
297,581250.1542,1752.42,3,4,555.27,23.14,8,48.24,27.07,92.94,5
298,215335.419,630.11,2,3,470.22,0.39,8,27.9,2.76,92.16,5
299,384455.619,784.31,2,3,1012.43,37.14,7,54.89,6.54,89.89,7
300,424643.659,1431.14,2,5,642.51,52.27,6,54.06,5.18,91.51,4
301,299949.6785,613.65,3,3,167.43,21.39,6,4.56,10.47,98.24,2
302,203699.5856,1327.51,2,4,1132.4,15.69,10,16.16,1.34,99.9,6
303,204657.2539,550.0,1,3,239.34,50.25,6,22.23,34.43,91.25,1
304,225922.8165,550.0,2,4,834.41,35.69,4,14.31,9.29,99.9,4
305,299791.0386,1358.08,1,4,524.26,4.39,8,50.96,18.75,92.79,6
306,332625.6738,550.0,1,2,500.8,55.26,5,43.13,26.28,89.49,2
307,387338.4613,1653.52,3,2,938.48,39.59,5,10.34,24.35,99.9,6
308,723129.0195,1258.04,4,4,590.21,40.66,8,17.65,30.54,88.71,8
309,303263.1002,1026.89,2,3,149.28,31.68,7,51.37,7.32,92.33,7
310,273342.7544,1455.53,1,3,629.97,26.49,10,63.87,16.17,95.74,2
311,255571.3046,1757.89,2,2,442.04,17.84,6,45.33,15.94,95.03,5
312,474113.0391,1179.81,4,3,235.87,28.24,7,61.55,9.9,99.9,5
313,542634.4865,1850.41,4,2,380.26,12.84,9,22.38,0.61,86.96,4
314,250513.3016,829.58,2,4,384.04,23.32,3,81.71,18.52,94.06,4
315,97058.08872,805.65,2,1,539.13,48.83,3,21.07,18.09,88.33,5
316,451607.1293,969.23,2,4,520.41,39.87,9,45.53,38.54,86.82,9
317,108490.1181,550.0,2,1,464.48,17.37,6,58.57,9.18,96.32,2
318,719331.4896,1628.62,5,4,831.39,28.89,10,60.38,5.19,99.9,10
319,491275.8051,1116.13,2,5,911.13,56.28,8,2.84,12.3,91.83,4
320,237298.1737,899.53,3,3,328.43,4.05,10,27.81,16.74,93.74,6
321,452040.361,1389.16,2,3,708.77,32.33,7,51.28,16.57,92.41,4
322,339942.7401,1174.77,2,3,519.3,33.31,7,108.3,28.59,93.35,6
323,619118.0958,957.72,2,5,243.74,46.61,9,27.72,27.06,95.54,4
324,308210.9175,550.0,1,1,200.14,53.6,2,34.2,38.95,92.86,1
325,166249.1423,696.71,1,3,1109.8,50.24,7,56.54,31.78,96.92,3
326,158586.5965,550.0,2,3,182.65,19.69,3,113.37,37.74,99.9,3
327,349936.8147,732.74,3,5,766.49,5.11,8,23.57,2.02,97.68,7
328,350479.6175,1169.45,1,3,463.43,21.98,7,17.96,13.3,94.31,5
329,449710.6488,1979.9,2,2,387.54,3.75,6,16.12,11.07,96.33,6
330,232895.9821,1235.16,2,1,659.72,38.95,6,43.09,16.96,93.94,7
331,161259.969,550.0,2,4,185.82,33.44,6,43.79,13.87,92.55,4
332,385714.3105,1287.61,3,3,1054.2,51.53,10,50.01,10.76,95.26,7
333,189599.5983,931.48,3,2,441.0,23.97,7,41.32,23.8,95.42,6
334,691793.7395,1384.52,3,5,718.69,59.12,9,20.41,0.06,93.79,7
335,253572.0031,1247.24,2,5,508.51,60.16,7,37.74,11.43,84.92,6
336,234312.0381,1508.28,1,2,323.23,32.39,5,78.59,26.43,88.92,3
337,454510.2017,974.21,4,4,712.49,53.26,6,48.43,16.98,87.61,6
338,668647.8979,1714.27,4,3,389.17,21.66,7,87.97,17.04,84.3,7
339,422218.6244,990.36,2,3,270.8,19.87,5,38.09,2.07,99.13,4
340,285884.5054,966.84,3,3,90.6,13.61,7,34.79,27.92,86.4,6
341,558091.1803,1117.64,3,4,1111.76,21.99,8,41.77,6.9,96.98,10
342,123607.752,550.0,1,2,476.85,52.05,8,25.66,30.69,89.3,4
343,108831.3591,1229.67,1,2,165.76,57.5,6,83.46,16.44,88.68,4
344,199859.2865,1210.02,1,2,414.33,53.52,5,61.29,22.32,90.66,5
345,273656.1229,1453.22,2,4,176.69,50.55,6,27.35,1.98,96.81,5
346,373244.7733,1640.53,2,3,762.09,38.79,9,30.19,8.29,96.06,8
347,373283.2345,1871.3,3,3,449.26,45.89,7,14.39,0.82,85.65,5
348,166979.9417,1074.05,1,3,599.49,36.09,7,13.87,31.21,96.0,5
349,280856.0706,897.32,2,3,248.28,32.13,9,53.95,23.25,96.28,5
350,649626.5373,1634.97,3,4,873.35,53.4,9,15.26,19.77,91.36,5
351,271564.8979,714.31,1,5,380.52,32.9,6,73.3,28.85,92.22,2
352,418571.6063,1594.84,3,3,714.72,51.53,8,29.47,1.15,92.22,5
354,337437.9892,550.0,1,5,785.92,24.7,8,106.56,17.31,95.04,4
355,529431.1245,1217.68,4,4,407.63,34.18,7,100.17,1.38,99.9,7
