,Price,SquareFootage,NumBathrooms,NumBedrooms,BackyardSpace,CrimeRate,SchoolRating,AgeOfHome,DistanceToCityCenter,EmploymentRate,RenovationQualityRate
1274,544763.5776,1769.01,2,3,388.99,12.43,8,61.9,25.5,93.64,7
2761,397238.4498,1653.32,2,3,294.97,52.73,8,61.87,22.17,90.55,5
3908,178033.013,1500.21,1,4,743.08,78.98,2,23.18,6.1,83.82,2
2477,324048.5151,774.9,1,4,609.13,26.26,7,45.2,47.08,95.92,7
861,300545.6297,786.76,2,2,264.36,22.98,7,30.55,21.3,90.63,7
6310,342204.0772,1488.72,2,2,410.18,33.2,7,13.65,10.1,99.9,6
29,156375.4648,550.0,2,3,200.61,46.26,3,62.18,37.1,88.73,2
4201,184235.5417,1028.46,1,3,369.83,51.39,5,104.99,24.35,99.9,6
5388,311578.357,1288.28,4,4,461.43,22.43,10,57.2,1.53,97.56,8
3874,318960.2502,1001.01,1,4,261.73,6.43,8,98.73,19.07,99.9,8
4802,469792.0289,1477.56,3,3,354.77,54.42,10,5.48,14.8,98.99,10
6033,643648.7488,1865.64,3,5,542.84,22.83,9,38.99,0.78,96.77,7
3282,353948.1172,1528.58,2,3,531.36,29.4,9,58.07,3.81,93.39,5
5342,185540.2315,754.61,2,2,170.87,8.62,8,6.81,7.3,90.18,5
2126,164942.1664,550.0,2,2,317.55,0.81,8,42.06,16.87,98.28,5
5014,373096.9624,1164.5,1,3,528.95,23.02,9,73.74,12.42,93.3,5
2730,306219.2514,769.33,2,2,294.5,58.99,6,26.16,29.32,96.28,5
2666,331226.1443,1067.87,2,3,217.9,47.16,7,24.71,25.61,99.9,4
786,387702.7452,1014.08,3,4,276.56,20.73,7,15.87,24.89,89.25,6
6045,173899.5665,1012.98,1,3,78.91,24.08,6,56.22,44.14,99.9,2
2290,164483.0394,768.26,2,2,326.59,46.28,6,35.25,14.54,95.0,2
5687,292193.1024,893.13,1,3,583.54,5.23,9,26.45,2.73,98.94,3
1491,265407.0054,1505.14,2,3,385.07,36.62,8,60.84,27.63,99.9,8
1799,209759.2238,726.54,2,3,547.76,32.81,7,26.82,31.74,95.99,3
4763,131801.5547,1153.1,2,1,369.2,17.98,4,116.4,26.08,82.91,6
5237,339540.6449,1257.89,1,4,596.72,26.28,7,39.53,7.93,97.64,4
685,332259.4237,656.16,3,4,643.36,36.9,6,21.5,3.49,94.21,4
4093,166715.2509,799.57,1,2,460.93,40.2,9,46.71,29.26,94.76,5
1228,139974.2133,574.97,1,2,728.27,14.94,3,34.67,19.46,90.29,2
1040,339351.4185,1015.29,1,5,1044.76,2.74,10,28.84,11.16,92.58,5
3372,362926.5998,1128.99,2,2,1206.43,54.51,6,53.32,1.18,93.7,6
1710,264770.1768,1613.59,1,3,1070.89,8.74,6,40.59,28.63,99.39,7
4793,621514.0038,647.08,3,5,5.52,34.31,8,18.66,32.71,98.96,6
4593,426874.8922,1295.75,4,1,246.93,25.85,7,57.03,36.37,99.9,7
943,107491.6315,935.74,3,1,94.36,34.86,5,93.36,12.96,92.52,1
5581,287941.7178,1153.8,4,4,708.58,28.6,9,14.71,17.16,92.55,5
4603,322811.1839,550.0,2,1,342.1,26.33,5,72.02,29.65,96.61,1
584,398689.505,1199.68,1,3,409.66,22.86,6,19.19,29.88,94.42,6
1238,266370.7393,1465.27,3,3,106.69,63.63,6,54.48,1.57,88.96,6
5634,147760.8634,550.0,1,2,977.1,75.51,6,5.05,11.81,94.83,2
5200,588288.5704,1097.15,4,4,295.28,29.97,10,13.81,25.77,99.9,10
5067,412601.1709,1549.26,1,4,209.02,45.18,10,10.61,9.52,94.28,6
1715,251463.4563,1686.82,1,2,53.18,46.2,7,81.87,40.39,93.63,6
4176,360527.6946,1464.41,1,3,557.48,34.62,5,2.19,17.64,87.77,4
4635,419966.6879,623.86,3,3,133.06,17.15,6,24.32,12.96,89.79,8
2899,277499.6342,1401.47,2,3,762.11,23.41,7,80.21,12.3,98.99,3
6730,372007.9195,775.64,1,5,384.8,6.87,7,110.87,28.93,99.9,4
5267,425611.6652,1464.33,3,3,772.16,46.01,10,94.81,9.89,92.43,6
3270,183399.3991,887.74,2,4,695.28,26.29,6,44.13,14.76,92.32,4
4588,410194.7332,1395.04,2,3,770.71,2.21,8,50.88,4.39,95.33,7
3728,319396.2929,974.62,1,3,96.39,0.56,10,14.19,15.75,96.06,8
1448,527756.2985,1434.43,4,2,370.18,20.76,5,66.2,1.09,93.39,6
2921,488321.9791,1941.44,2,4,28.23,39.35,7,3.18,6.73,98.42,3
2902,215596.0861,555.88,2,3,655.24,19.56,9,53.66,2.37,91.44,6
6407,155525.584,694.91,2,3,844.13,28.05,8,53.35,8.84,92.05,3
3997,411696.635,1622.43,2,1,454.07,7.31,7,22.81,7.76,95.78,6
1284,111689.8093,550.0,2,2,20.18,27.39,5,46.42,29.39,97.1,2
6845,135570.1211,1205.53,1,3,351.27,66.61,9,31.8,8.05,97.61,5
3505,270701.2685,605.52,1,5,229.88,8.63,8,48.1,22.5,99.9,2
4534,466005.3147,1382.61,2,4,174.11,54.63,6,38.99,0.36,98.84,9
2322,191893.9135,1063.59,2,2,881.56,49.17,5,62.61,16.56,88.84,6
3786,353954.5232,920.56,2,2,828.17,46.83,7,12.82,20.4,99.05,5
5406,205354.9456,1037.16,2,2,413.45,53.0,5,5.64,19.04,91.74,3
3896,186732.3028,554.97,1,4,749.92,8.98,8,54.91,24.61,91.56,4
5392,254840.1404,1022.56,2,3,588.03,42.6,10,66.28,38.63,96.55,7
2182,653150.7907,1372.58,2,4,516.07,2.82,9,20.34,24.55,99.25,6
4990,570090.1058,1676.09,3,2,205.94,36.22,10,43.21,5.19,92.69,6
5413,136601.3608,647.33,2,1,540.53,41.62,7,109.19,11.28,99.9,4
2233,135914.235,1290.82,2,2,125.72,38.12,7,75.24,13.88,90.09,5
6313,197631.161,550.0,1,2,158.6,52.1,4,2.07,4.46,89.18,2
1267,181434.0593,550.0,1,2,793.43,35.85,7,41.49,17.35,88.73,1
5538,277441.6937,1065.81,2,2,497.32,38.53,7,64.97,16.98,99.9,4
6437,141189.5276,786.87,2,2,866.61,43.0,4,52.62,6.05,93.8,5
3016,182212.9644,550.0,2,3,21.78,53.89,5,36.83,26.37,86.5,4
6230,149241.5454,622.21,3,1,396.34,73.07,5,5.56,7.32,90.66,7
939,293853.7085,1204.2,2,3,264.73,38.88,7,21.36,12.5,85.12,5
5178,129436.3972,854.32,1,3,87.62,18.81,5,122.77,27.28,92.06,2
2049,321483.2509,911.89,2,2,227.28,32.68,6,63.38,26.16,87.6,3
256,235650.2469,1540.02,1,4,956.39,25.36,5,3.63,10.65,90.56,3
4972,380646.3154,1175.56,4,1,701.66,25.38,8,38.57,4.99,86.0,7
4742,151369.7369,727.95,2,3,358.09,14.56,7,60.61,47.94,92.23,5
1223,113969.9106,683.04,1,2,245.15,23.32,4,32.35,15.52,90.57,2
4566,106959.66,724.56,2,2,657.44,25.11,6,83.92,16.81,95.44,3
4048,608409.4563,1259.23,4,5,741.42,12.62,8,1.9,4.64,97.29,6
1292,150242.8915,592.47,3,2,319.47,11.41,9,55.66,2.16,99.9,7
4364,227345.9975,1068.57,2,3,310.47,17.17,8,32.5,15.93,94.22,7
398,434766.9091,2082.88,1,3,49.18,39.72,8,56.25,0.95,92.73,7
4446,246126.2233,767.17,2,3,398.64,34.73,6,21.4,6.3,97.08,6
3703,168729.8001,1027.55,2,1,498.04,20.68,3,87.26,29.83,89.89,1
6432,330731.053,550.0,4,3,290.16,20.37,7,124.49,2.85,97.47,5
4974,184261.1924,755.85,2,2,470.39,50.19,3,4.15,38.3,94.38,3
2330,704374.5511,1415.72,1,5,886.91,0.54,9,47.91,5.6,89.61,8
644,277628.6859,566.19,2,4,404.67,20.9,8,67.93,15.06,84.96,6
5321,123104.0484,734.59,1,3,978.95,5.72,5,11.29,14.3,92.22,5
6938,324684.2125,801.36,2,5,488.46,51.06,8,61.95,29.15,95.17,8
5857,111070.1369,1143.71,2,1,1080.91,22.98,5,13.19,5.3,94.91,5
5124,268468.2677,939.7,2,4,719.79,52.0,5,74.79,9.32,93.68,3
4101,336364.0082,890.77,3,4,651.7,28.89,9,5.99,5.94,99.9,5
4999,183050.1678,676.56,3,1,552.24,30.05,5,12.6,18.77,91.51,5
4518,143760.0597,751.34,3,2,855.09,26.32,8,55.86,49.43,98.3,4
3110,236776.6567,640.47,3,2,828.6,8.79,6,37.9,9.5,91.77,8
6274,122588.4295,798.61,2,2,335.16,36.1,8,53.3,31.12,89.92,4
1944,416626.6304,1741.57,2,2,668.65,69.17,3,2.75,7.36,89.24,5
5394,411915.1851,550.0,5,4,461.67,18.7,9,46.12,9.75,96.69,8
5112,306825.0784,858.39,2,3,395.03,40.71,10,98.43,41.67,90.84,3
4762,229358.8883,641.2,1,3,630.4,27.42,7,71.38,0.09,97.46,6
6722,175483.1363,1247.13,1,2,570.45,56.62,6,66.28,11.14,95.19,6
4431,178030.8073,1007.38,1,3,654.26,13.5,7,49.01,20.5,91.54,5
2004,194451.5922,691.89,1,2,569.96,43.26,6,54.11,25.93,98.27,5
5666,399436.5842,934.62,3,4,474.59,20.06,10,71.16,10.88,92.46,5
3822,133859.3801,559.1,1,1,529.5,30.82,5,57.1,6.33,87.14,1
1489,200723.3825,791.03,2,3,649.05,40.72,4,88.7,21.76,99.9,1
4398,383798.3606,1089.88,2,3,609.84,29.62,7,53.27,0.91,97.11,5
1486,110427.8589,838.47,1,2,219.28,55.18,5,58.02,17.35,90.83,2
1245,137084.6115,576.05,1,2,705.36,33.8,4,0.2,6.39,86.57,4
5846,156291.7125,914.61,2,2,1014.42,41.4,6,81.84,28.04,95.66,1
2916,312772.7632,2073.56,2,4,658.55,42.09,5,2.51,11.71,93.44,4
6726,626772.5555,1790.43,2,4,205.98,58.46,8,27.69,27.7,96.56,4
2250,283290.1531,713.17,2,3,133.48,53.55,5,79.27,41.13,97.9,5
3049,436066.8884,1305.92,1,5,427.58,21.84,8,55.74,6.17,94.18,7
3183,284982.2862,1349.32,1,2,846.47,27.37,8,38.11,22.02,99.9,7
5933,130243.4643,550.0,1,3,675.96,49.12,8,96.99,50.4,97.9,3
5099,155707.1319,550.0,2,3,421.49,25.07,6,67.29,20.29,92.0,6
1530,575487.0117,2136.41,1,2,11.28,22.41,8,41.67,16.51,93.31,6
3112,224104.3,1004.24,2,3,1070.43,42.02,8,13.21,5.14,95.5,4
3563,403526.8027,1183.73,4,2,458.72,44.62,6,67.29,4.28,94.9,8
364,486979.2979,1510.55,3,2,145.97,40.03,8,10.94,6.26,94.82,9
5028,98718.31518,550.0,2,3,779.69,13.96,5,92.09,28.87,91.77,4
6513,410941.3399,1273.23,3,3,351.19,23.78,7,41.57,22.23,90.11,4
2630,347992.3326,1374.36,2,3,154.9,36.29,6,3.14,2.85,94.71,8
5682,256654.3421,1555.84,1,3,280.54,43.66,8,42.56,19.35,94.3,4
3410,261312.3182,704.82,1,3,492.72,3.62,6,4.59,31.73,92.79,4
4038,117006.0878,883.65,2,2,181.05,69.75,6,53.21,15.06,95.49,1
3363,354911.9709,634.61,2,5,286.52,44.41,7,8.78,24.48,84.27,4
3593,244766.5398,1574.03,1,3,799.67,37.89,6,65.68,26.45,99.9,7
2399,173670.6252,550.0,2,3,174.0,21.85,6,104.79,33.35,98.81,7
1891,277934.3181,1049.26,2,4,839.33,56.14,9,55.2,5.78,87.88,5
4329,275840.3174,935.51,2,3,308.27,43.09,6,67.99,45.69,95.75,6
2536,294658.1949,1356.4,2,4,261.49,74.07,7,45.93,35.28,93.77,7
1469,492346.072,2047.85,2,2,667.98,28.65,9,42.05,4.53,99.9,6
3502,281220.2829,797.88,3,2,718.12,72.84,5,74.97,16.2,86.42,3
2406,200364.2045,660.33,1,4,482.39,53.07,9,3.26,29.66,99.9,5
3557,265171.2807,1197.67,1,4,392.26,33.34,7,8.31,20.22,99.56,7
2799,304631.685,696.5,3,2,681.04,32.57,5,32.07,9.61,88.69,5
564,207249.2201,779.94,1,4,66.42,34.3,6,12.91,1.4,90.36,2
1541,246595.8337,550.0,2,4,249.07,14.86,10,19.63,22.39,98.22,9
4735,197612.8364,836.49,1,3,576.88,20.09,7,20.58,8.37,82.63,3
1556,432094.8602,1837.46,2,4,752.13,29.17,7,16.1,3.2,91.8,4
1509,107785.5137,550.0,1,3,316.28,32.55,5,58.96,26.33,91.82,2
3033,470823.9488,1375.85,1,4,586.85,25.38,8,60.77,2.98,92.71,5
437,113282.0931,1522.56,1,1,39.91,42.98,4,105.14,36.59,97.3,2
1637,435343.9722,550.0,1,2,323.78,23.33,5,98.04,48.26,89.85,1
1667,256469.5086,1116.97,2,3,327.03,23.06,9,74.35,19.53,99.9,6
3189,158526.3876,1384.41,2,2,805.9,36.27,9,106.78,2.11,96.74,5
2400,206409.2786,795.24,1,4,540.4,27.48,10,36.06,11.16,99.63,4
6696,129603.5386,550.0,2,2,405.5,48.67,8,29.18,28.92,89.8,8
818,121928.5813,1106.95,1,2,593.5,10.43,7,12.23,18.26,86.96,4
1522,256531.8918,1065.11,4,4,950.21,37.43,7,77.58,18.98,91.82,6
4642,209952.1873,820.43,4,2,573.52,6.66,8,29.49,11.73,93.67,7
705,506588.2279,1937.36,4,1,471.75,33.14,8,34.71,1.37,85.37,6
1503,703875.7556,1572.82,2,4,447.27,45.01,9,59.58,12.41,99.9,7
372,367193.2871,1247.5,2,3,67.11,47.06,8,20.83,17.17,99.9,8
6389,312105.731,852.81,3,4,336.31,19.94,8,4.34,3.43,91.61,3
1344,265594.885,550.0,1,3,715.85,47.83,8,55.92,27.33,86.66,3
930,233002.9048,986.07,2,3,71.57,24.76,7,141.09,19.69,89.45,6
5227,474816.6255,1743.58,3,3,249.13,27.6,10,18.96,12.34,97.9,7
716,304817.7262,1157.68,1,3,820.77,3.04,6,11.92,7.93,87.97,6
3494,197471.5405,550.0,1,1,482.24,38.52,5,90.56,42.77,94.11,4
6973,368504.035,1520.26,1,4,364.53,14.66,8,102.46,23.0,97.73,6
301,299949.6785,613.65,3,3,167.43,21.39,6,4.56,10.47,98.24,2
2271,176664.6209,550.0,2,3,407.2,5.16,8,25.47,30.55,93.66,3
6355,176071.022,1005.18,1,3,800.06,37.95,8,66.99,0.73,94.06,6
6223,477219.5197,1380.55,1,3,196.27,54.97,7,40.3,10.71,91.24,2
1436,167842.3834,1184.42,1,2,374.27,49.89,4,48.83,25.91,91.13,1
6879,166751.417,550.0,1,3,610.78,36.83,8,57.32,20.71,93.03,3
754,333690.06,1717.65,3,3,431.28,0.06,10,9.17,1.88,96.79,6
6818,269852.9375,707.61,2,2,560.06,35.34,7,39.35,14.82,87.85,5
2771,726744.0329,1878.22,5,5,697.57,4.85,10,62.37,9.44,94.03,8
3741,320483.7395,992.95,3,3,867.92,42.08,6,76.79,8.92,97.96,1
1441,272175.1689,550.0,1,3,78.01,38.2,6,23.61,11.65,87.43,7
475,644478.1921,2203.77,3,3,537.82,17.2,7,76.93,30.1,90.96,9
5516,272035.8033,1380.6,3,2,339.5,45.66,6,123.56,4.82,82.85,6
1904,470273.5243,1438.56,3,3,516.27,27.02,10,102.49,22.85,92.65,8
3083,227750.252,857.34,3,2,139.8,37.9,5,66.65,4.34,87.7,4
3504,387011.2144,1262.8,2,2,501.86,9.49,8,30.81,3.55,94.82,3
2194,164664.3915,550.0,1,4,696.13,14.58,10,43.23,42.41,91.0,5
2386,274752.55,1161.97,4,1,777.01,43.2,5,0.09,10.22,91.53,5
3010,195897.2397,1437.31,2,1,568.03,42.56,5,111.91,2.45,94.06,3
2424,98540.95607,1107.54,1,1,645.26,10.61,5,82.1,14.18,89.27,1
4068,240991.5035,845.78,2,2,579.32,17.02,8,68.41,33.88,91.95,5
3414,353589.8626,808.5,2,3,130.41,30.98,7,63.87,19.49,92.23,8
2834,138631.8265,550.0,1,3,523.87,39.89,4,42.89,34.1,89.73,2
1000,281812.0299,1099.92,2,3,597.07,38.1,5,6.59,21.46,86.52,2
6175,436042.4919,1618.91,2,4,94.16,57.82,9,119.01,15.12,91.85,8
1868,284069.3386,927.64,2,3,339.42,39.61,8,7.24,3.39,98.52,2
5122,136659.4539,550.0,1,3,15.38,70.51,5,110.45,28.26,85.81,2
1358,525873.6076,1496.96,1,3,729.14,6.88,9,57.47,0.75,97.02,8
3976,444712.8941,1346.98,1,2,132.56,9.14,5,54.84,1.96,93.01,3
4705,382171.5594,550.0,2,5,575.87,34.45,7,8.19,5.6,96.08,6
5916,241788.0642,580.77,1,4,384.16,55.34,6,0.05,13.5,87.04,4
498,138522.2516,550.0,1,3,855.73,41.36,7,39.47,16.19,99.66,3
4923,168251.1936,550.0,2,1,205.89,22.5,5,51.13,18.35,92.24,1
4494,194271.1537,808.87,2,2,4.56,57.33,7,35.23,31.87,99.9,6
1863,233723.6552,550.0,2,4,696.05,26.2,8,49.63,38.01,95.69,5
5471,170927.4512,550.0,2,3,104.91,5.1,5,84.89,18.79,95.85,5
1010,455628.2404,1463.73,3,4,738.76,20.99,7,26.96,23.74,88.08,6
3524,297723.341,571.47,3,4,850.65,30.14,8,23.54,23.56,84.7,3
6462,349603.0109,844.2,3,3,1250.86,11.25,5,32.04,8.64,99.9,4
2959,371438.5382,550.0,2,4,262.5,66.56,6,13.19,22.56,96.38,4
3236,161223.6344,550.0,1,2,241.35,49.3,5,15.19,19.95,94.4,2
2909,384736.5234,1411.68,3,4,607.98,0.74,9,39.58,28.64,88.41,6
6311,231303.0824,595.56,2,1,284.68,35.32,5,102.12,41.83,86.61,2
5366,273206.7468,614.25,2,3,195.47,46.95,4,65.94,20.53,94.69,4
2757,194777.6616,550.0,2,3,422.57,31.04,8,70.56,17.48,92.86,5
4785,286409.3475,561.83,3,3,722.94,24.49,6,28.72,35.85,99.9,3
4425,114903.9616,550.0,2,2,130.27,2.44,7,54.68,26.91,87.55,3
2501,104702.2639,550.0,2,2,225.57,46.01,5,83.14,13.07,96.21,2
5116,316529.5757,1249.65,1,3,296.48,41.82,6,56.74,1.96,99.9,4
766,439736.5995,1054.45,1,4,571.38,43.91,9,93.43,2.13,99.9,7
3963,422578.4358,1956.56,4,3,439.89,28.24,9,41.45,25.14,90.96,8
11,463808.856,1337.43,3,4,955.18,20.59,8,32.28,3.17,89.72,8
3577,239473.8559,550.0,1,1,418.94,71.58,3,11.38,25.58,92.24,1
4869,419301.784,1134.09,4,4,313.09,48.32,9,80.35,19.63,93.26,5
6865,432576.2927,1313.78,1,3,915.09,34.65,3,40.18,22.53,93.14,5
457,560068.1806,1337.26,3,4,159.82,20.92,8,44.41,1.65,97.15,7
1174,209841.1212,1019.02,2,3,715.25,33.37,7,58.16,50.13,83.17,2
6290,535835.6644,1057.2,2,5,156.59,4.54,9,90.9,1.64,94.29,9
947,264529.5677,1384.13,3,4,423.58,50.77,8,47.63,31.13,93.26,6
4897,130851.447,550.0,1,3,653.54,10.2,5,21.27,2.56,98.15,3
3137,124213.8928,833.98,1,1,761.83,0.46,4,109.77,17.71,99.9,5
3635,148899.3633,677.16,1,2,375.04,43.17,6,34.83,19.23,91.78,5
4771,515634.3517,1049.9,3,4,310.73,63.55,7,48.24,16.32,91.19,6
1327,186050.0754,550.0,1,3,803.59,27.49,8,7.29,12.97,95.66,6
6068,255979.6826,646.4,1,4,653.33,19.63,6,26.17,20.6,85.35,6
2371,377279.207,1372.23,2,3,512.42,33.14,8,3.61,28.02,93.35,9
2528,221980.481,584.56,1,4,675.47,49.66,5,54.63,0.27,93.26,6
34,459577.8498,1061.97,2,5,333.14,31.09,8,7.25,34.39,91.82,7
6526,492994.8442,2269.73,2,2,392.97,82.91,8,2.87,30.98,92.58,6
6917,113983.8198,594.57,1,3,756.04,29.84,6,7.96,50.5,89.11,6
6120,311205.1828,1293.75,1,2,421.62,35.97,6,64.71,5.4,93.73,6
5837,347447.5701,550.0,1,1,946.35,44.66,3,61.95,35.45,97.11,2
3999,157016.0229,707.44,2,3,1199.93,60.29,2,0.83,23.94,88.06,3
6833,131458.3242,550.0,1,2,241.47,73.02,5,39.74,30.08,92.51,3
1255,293232.5093,550.0,3,3,270.78,20.43,5,80.52,30.84,88.12,2
5862,204452.9966,598.27,1,2,161.96,81.01,5,136.4,36.49,92.06,3
2707,296401.8311,698.85,3,4,442.14,58.23,7,54.88,23.78,92.62,7
180,198687.8753,1413.38,2,3,380.84,36.26,8,39.59,20.49,95.51,1
492,427689.9658,1856.98,3,3,175.51,33.9,9,14.21,26.06,93.76,7
557,144240.8553,550.0,2,2,544.76,14.29,3,71.68,3.25,87.11,3
4445,208326.869,1277.39,1,3,350.4,66.94,9,26.85,4.53,99.9,5
4666,533177.8282,1346.49,2,3,458.14,23.97,10,23.66,12.38,93.63,6
1617,129571.1343,550.0,3,3,179.5,42.87,6,75.7,6.09,87.27,1
6754,152349.6387,550.0,1,4,231.56,62.76,7,25.23,23.98,99.9,3
1447,423935.6588,1546.85,4,3,350.83,49.94,8,9.02,23.96,93.99,8
97,482609.8577,979.53,2,4,673.71,9.91,8,58.37,7.94,92.24,4
1648,517953.9197,1476.34,2,4,229.58,8.67,10,85.14,19.47,97.3,8
1549,271519.0458,1209.01,3,2,467.9,12.94,7,4.93,7.97,88.04,5
320,237298.1737,899.53,3,3,328.43,4.05,10,27.81,16.74,93.74,6
1543,538054.4792,1297.73,3,3,169.06,34.86,7,87.08,19.98,94.78,5
1520,182665.8412,550.0,2,3,522.98,39.22,6,30.25,38.69,90.46,1
1462,276102.4432,550.0,2,3,367.33,39.13,4,130.9,19.25,93.81,4
6557,497949.1295,1820.82,1,4,94.82,31.5,7,57.62,12.11,96.25,4
519,167114.0659,1210.49,1,1,248.46,19.59,5,60.74,11.11,99.42,3
583,273784.2413,788.46,2,4,552.26,15.75,7,71.52,21.6,96.97,4
6443,326597.9895,1877.12,4,3,301.79,38.96,8,62.96,9.97,86.24,6
1234,196708.7074,1258.21,2,2,186.08,29.21,7,59.26,18.27,88.44,3
1048,237259.4408,853.71,1,1,319.26,42.17,3,37.3,17.74,96.17,1
1420,339846.8397,550.0,2,4,31.28,79.44,6,22.87,43.68,91.83,4
6750,181185.637,550.0,3,3,692.34,34.74,5,140.48,40.92,84.22,1
296,360643.2227,550.0,2,4,130.93,21.83,6,7.03,5.71,95.18,2
2018,121420.1686,550.0,1,3,704.41,36.77,5,62.22,27.25,98.87,4
6866,324096.027,823.48,4,2,275.48,35.64,9,20.8,10.02,91.95,2
3325,514905.4143,1041.99,3,4,345.04,30.18,5,55.61,16.72,93.72,5
3077,480128.732,1252.22,1,3,138.55,11.34,10,25.29,13.2,99.9,7
6387,379303.0371,966.94,5,3,674.08,6.77,5,58.14,2.06,97.52,5
1190,255664.0662,749.05,2,1,549.21,32.97,4,37.82,39.85,90.36,5
6512,269349.8726,1305.82,3,3,347.3,41.32,5,15.75,19.05,98.87,4
3888,590169.0022,1405.91,1,4,588.23,6.77,10,17.42,4.54,97.53,9
4080,383349.313,1252.11,4,3,778.61,16.8,8,20.76,37.13,95.04,6
1132,333004.9719,2130.05,1,2,839.07,26.12,3,49.11,30.91,99.48,4
1070,493676.5673,1428.66,2,4,329.34,47.37,6,8.01,19.43,99.9,6
4858,151942.4139,550.0,2,4,186.83,2.73,7,14.45,30.85,87.81,2
2266,404832.6191,1645.3,1,4,87.61,72.39,7,22.7,4.37,94.86,8
916,246946.1074,550.0,2,1,77.07,49.79,6,11.38,35.77,91.78,2
6590,150168.9155,550.0,2,3,247.21,19.52,10,2.34,20.81,90.06,5
5440,477165.3027,1042.11,2,4,23.68,25.92,10,27.33,3.85,95.94,5
6086,262653.3923,878.0,3,3,257.23,44.28,5,85.39,6.0,96.64,4
3202,418251.3239,1077.67,3,3,603.2,60.19,8,19.94,1.17,96.39,4
1415,408199.614,818.85,1,3,123.91,32.19,9,12.11,14.68,95.16,8
6717,240851.9783,1201.96,1,2,917.7,1.26,6,47.68,23.98,93.33,2
6681,216374.8129,1037.41,1,3,76.03,64.7,6,21.47,0.8,85.54,5
6935,400944.4919,952.97,2,3,240.46,25.16,8,37.74,7.73,97.98,6
1084,105757.9411,550.0,1,3,371.01,46.49,5,116.36,43.17,99.9,4
2437,159804.1684,639.55,1,3,347.38,34.76,4,77.74,16.65,91.4,4
3409,211134.6658,698.31,2,2,98.81,44.86,6,73.66,26.45,99.65,3
1206,258971.5503,652.06,1,2,468.82,14.55,7,76.46,26.9,97.01,6
6293,255152.0647,919.36,3,2,584.2,7.15,5,23.44,2.48,91.28,6
3233,192947.1811,711.33,2,4,60.84,33.17,2,38.95,21.66,87.4,2
5320,105457.0652,550.0,1,4,173.56,36.25,6,36.51,4.25,80.29,3
860,168961.3183,593.33,4,1,522.54,26.44,6,18.44,6.15,94.18,2
4678,557984.5278,1325.14,1,4,176.86,51.31,7,5.75,2.39,86.76,7
2449,125356.8514,550.0,3,2,713.06,65.56,4,51.39,10.6,97.76,4
3735,152463.6497,550.0,2,4,161.86,12.7,5,93.85,25.32,89.18,4
5479,699204.7702,1192.9,4,5,62.76,36.18,10,70.33,13.26,95.52,7
2379,174698.0105,550.0,3,2,658.16,49.06,4,9.54,14.25,91.23,6
2230,417207.8893,550.0,5,1,565.61,0.54,8,19.29,5.05,99.9,7
