,IsLuxury,SquareFootage,NumBathrooms,NumBedrooms,BackyardSpace,CrimeRate,SchoolRating,AgeOfHome,DistanceToCityCenter,EmploymentRate,RenovationQualityRate
6273,1,939.55,3,5,468.79,16.84,6,103.39,16.56,87.29,9
3136,1,2054.95,2,3,734.76,55.79,8,64.74,3.06,93.78,10
1813,1,981.2,3,5,737.05,51.73,10,51.92,11.81,90.44,7
2106,0,1123.28,2,3,274.49,53.25,7,45.54,8.69,95.15,7
5645,1,1212.22,1,4,479.64,12.2,7,48.11,17.37,89.19,6
6459,1,550.0,3,3,323.79,35.63,7,65.26,16.52,99.9,4
6711,0,856.29,1,3,1013.59,36.53,8,53.66,31.67,97.43,4
5519,0,550.0,2,2,450.64,37.57,9,50.07,4.96,94.08,5
231,0,581.4,1,3,454.75,9.17,10,58.29,27.87,96.59,5
4821,1,1350.5,4,5,901.31,22.13,10,32.56,25.07,97.51,9
914,1,931.87,3,3,451.27,32.4,5,92.11,39.11,94.47,4
6639,0,642.05,1,2,346.7,34.79,7,16.66,23.39,90.78,6
5764,0,1378.95,2,3,421.0,22.48,8,105.32,15.02,98.36,8
5996,1,1140.45,1,4,1068.53,7.86,5,78.47,29.13,94.95,4
6829,1,762.97,2,5,778.49,63.01,7,7.04,12.92,83.62,6
4460,0,1018.92,1,1,1069.2,60.88,4,78.78,39.49,96.42,4
4547,1,955.53,2,4,551.57,40.47,8,129.1,15.78,99.9,5
3691,1,1115.75,2,2,381.71,39.5,5,40.24,8.35,91.07,5
3013,1,1680.2,1,4,1082.68,4.08,9,4.19,15.27,89.69,8
3324,1,2170.18,1,2,223.46,4.33,8,50.89,3.51,89.62,5
2382,1,1106.25,2,4,12.16,40.24,5,37.55,30.41,87.69,6
4518,0,751.34,3,2,855.09,26.32,8,55.86,49.43,98.3,4
6781,1,1946.87,4,3,815.24,3.88,10,36.06,3.72,99.5,6
160,0,995.68,1,3,110.33,38.76,7,9.83,9.36,82.78,4
6382,1,1161.42,3,3,314.41,26.21,6,69.75,17.1,95.17,5
691,0,1605.01,1,2,389.2,11.83,7,70.95,12.36,95.43,6
69,1,1233.39,2,3,1103.46,42.39,6,32.33,39.45,91.12,4
1821,0,550.0,2,2,373.21,28.5,5,6.41,9.32,97.58,2
184,1,1493.58,3,3,129.92,45.13,7,82.23,17.26,98.65,6
567,1,801.77,2,5,135.67,36.55,7,55.26,20.33,91.46,4
5139,0,550.0,1,3,698.45,39.15,6,11.49,19.14,93.33,3
604,0,550.0,2,2,649.67,9.63,6,114.35,27.58,98.08,4
40,1,1544.53,1,4,677.97,2.88,10,17.8,13.3,99.9,6
5811,1,728.47,2,3,902.47,15.88,8,63.29,3.19,92.28,6
3926,0,741.88,2,2,410.81,64.32,4,26.18,17.91,82.96,1
4781,0,1194.72,4,3,946.89,31.38,7,49.07,8.36,93.42,8
4309,0,1765.71,2,3,67.89,9.51,9,71.44,1.48,89.06,6
5010,0,1375.35,3,3,259.2,57.93,8,87.94,15.39,96.27,5
410,1,1250.32,2,4,673.64,35.24,6,19.87,35.45,94.33,6
3419,1,1866.75,4,3,298.67,16.52,8,17.97,2.07,92.63,9
3851,1,1229.6,3,4,669.56,48.59,7,70.98,10.22,99.9,7
6875,0,936.56,2,2,268.22,30.81,7,33.0,16.34,91.73,5
5777,0,932.72,2,3,605.21,33.19,7,22.83,0.24,96.92,4
5214,0,844.14,2,2,905.87,40.72,6,12.62,19.86,93.85,5
2309,0,1316.69,2,4,765.96,36.08,5,78.5,17.24,94.47,5
602,0,1226.59,2,2,900.44,5.32,7,12.87,20.06,98.24,6
2394,1,1011.88,3,5,343.21,66.43,6,37.02,23.36,94.08,4
5154,0,1050.59,1,4,523.89,53.12,8,6.58,29.15,99.26,6
144,0,1064.61,1,3,401.68,7.05,10,0.67,9.93,97.96,4
1953,1,1317.76,4,4,929.56,48.61,8,47.21,7.88,98.38,7
5494,0,947.06,2,3,675.68,48.67,8,28.78,13.04,98.1,6
3645,0,678.06,3,2,383.89,38.64,4,27.09,3.41,87.95,5
5923,1,791.11,2,3,436.7,37.43,6,13.73,22.98,90.47,4
767,1,1883.99,3,2,562.14,36.72,4,33.68,8.56,99.9,3
4222,0,1258.66,1,3,1174.25,62.53,6,71.41,46.7,87.52,2
4790,1,970.6,3,3,282.17,28.08,8,35.82,7.19,95.66,5
6694,1,697.99,2,4,418.29,2.88,8,34.05,2.37,99.22,5
4128,0,1062.47,2,1,78.23,8.68,4,67.35,3.44,97.1,2
4555,0,923.93,2,3,1085.37,11.62,8,16.68,12.24,87.43,5
4194,1,1711.71,1,3,1013.39,41.84,8,64.35,10.14,89.0,4
6681,1,1037.41,1,3,76.03,64.7,6,21.47,0.8,85.54,5
2904,1,1245.26,2,1,116.53,51.9,7,69.73,1.5,91.22,5
5250,1,933.34,2,2,590.33,20.44,10,9.81,1.25,89.69,6
1006,1,1314.37,1,4,846.03,46.93,8,71.29,17.3,95.63,6
5545,0,1198.58,4,3,1100.73,40.7,7,37.5,9.9,87.97,7
3653,1,550.0,4,3,223.2,63.46,7,11.13,6.11,99.9,6
5440,1,1042.11,2,4,23.68,25.92,10,27.33,3.85,95.94,5
2297,0,1055.93,1,3,629.66,2.53,8,86.55,25.5,99.9,3
5994,0,550.0,1,3,778.8,0.45,6,49.95,28.63,99.9,2
932,0,1034.81,2,3,1047.28,27.22,5,14.56,2.88,92.12,5
577,0,550.0,2,4,315.89,25.03,7,79.71,12.57,93.73,4
2423,1,1631.08,2,2,670.06,14.35,9,18.32,7.86,99.9,7
58,1,550.0,1,3,152.62,41.49,4,77.29,6.96,91.23,4
3322,0,550.0,1,3,559.41,42.67,10,54.97,16.2,89.69,2
2623,1,1058.53,1,2,661.31,36.62,10,40.34,6.39,91.72,3
1549,1,1209.01,3,2,467.9,12.94,7,4.93,7.97,88.04,5
5704,1,849.29,3,4,426.47,16.08,10,28.14,6.26,96.18,9
142,1,718.96,4,3,786.18,44.73,5,42.3,31.59,97.29,6
6738,0,550.0,1,4,603.68,5.03,6,104.34,42.05,98.26,4
1257,0,1180.83,1,3,460.01,12.76,7,76.84,3.22,99.9,3
478,1,550.0,2,3,424.28,63.65,7,53.06,18.97,94.15,5
5396,0,550.0,2,2,836.67,66.24,8,51.63,35.17,95.3,7
2810,0,1325.57,3,3,793.98,2.07,9,51.99,24.83,99.9,7
4819,0,550.0,1,1,190.53,67.53,5,96.79,17.15,95.93,2
4477,0,550.0,1,2,109.9,31.68,3,99.72,11.05,99.55,1
245,0,1913.94,1,1,468.23,2.21,4,0.86,6.35,85.61,4
3066,0,985.39,1,2,633.55,0.16,6,41.71,13.21,99.71,4
2852,1,1756.7,1,4,620.18,19.94,10,17.55,33.2,90.68,6
4572,1,1873.84,4,3,723.11,56.02,8,24.27,28.09,96.75,7
153,0,1195.99,1,3,604.53,16.13,8,40.76,15.44,99.9,6
4993,0,1219.82,4,4,534.57,21.92,8,77.86,32.93,89.46,7
6996,0,550.0,1,3,420.78,41.66,3,128.4,50.45,89.11,1
2731,1,1633.79,3,3,507.09,9.67,8,49.99,6.88,99.9,8
337,1,974.21,4,4,712.49,53.26,6,48.43,16.98,87.61,6
1148,0,974.8,2,4,278.95,10.78,5,54.53,7.22,99.9,5
15,1,1912.38,3,4,507.06,41.58,10,27.11,14.38,96.4,6
1845,1,1113.69,2,3,4.58,30.4,8,33.55,24.88,99.9,5
6019,0,550.0,2,3,72.65,13.81,6,66.74,20.62,92.98,1
1683,0,550.0,1,1,30.12,43.77,7,88.28,46.39,88.73,3
4392,0,550.0,2,3,182.65,35.88,9,56.2,19.66,83.22,5
4580,0,557.97,2,3,214.17,13.79,6,112.75,7.06,92.91,6
3043,1,2137.72,2,3,274.36,11.07,8,0.39,10.32,88.29,5
5736,0,1017.24,1,3,640.04,22.42,10,105.65,11.28,99.9,4
2733,0,1577.81,1,2,618.09,1.42,8,68.83,1.4,94.1,4
5190,0,1362.68,2,3,820.32,17.28,6,0.45,18.37,99.9,4
4729,0,1145.22,1,3,94.04,60.4,7,15.36,16.73,98.41,3
2620,1,1200.48,1,4,626.2,25.45,10,51.72,6.59,90.58,9
5843,1,757.63,2,3,684.49,31.64,6,1.09,20.18,91.73,6
3352,1,1459.42,1,4,54.79,24.23,9,33.86,1.37,92.33,5
2929,0,558.0,1,4,337.52,48.05,6,27.03,12.17,91.75,6
6027,1,1637.04,2,4,554.53,8.96,10,18.7,3.38,99.6,6
5620,1,868.5,3,4,93.81,51.03,8,52.24,25.13,91.61,6
26,0,550.0,1,3,496.46,17.29,3,114.72,22.01,92.34,3
791,1,1180.85,2,4,134.27,18.45,8,29.48,23.92,92.63,6
1273,1,795.54,2,4,446.84,27.53,10,48.88,0.76,88.26,6
1365,0,550.0,2,3,242.04,55.31,3,49.47,16.98,90.5,2
760,1,1320.89,1,2,572.21,36.49,2,55.24,24.39,92.91,5
1445,1,1476.26,2,3,256.84,38.87,9,73.67,31.98,81.76,5
3820,0,1291.71,1,3,197.32,44.88,5,60.68,25.03,85.38,6
6849,1,1242.45,1,4,423.82,39.41,5,22.14,7.67,92.11,7
1621,1,1628.72,3,4,462.37,45.91,8,19.92,0.75,99.9,9
3563,1,1183.73,4,2,458.72,44.62,6,67.29,4.28,94.9,8
5360,1,1709.82,2,3,1019.27,10.72,10,9.94,20.07,97.52,7
5660,0,550.0,1,2,40.9,37.83,7,71.38,29.67,91.63,4
2078,0,550.0,2,2,638.84,7.88,7,69.88,12.82,99.9,4
25,0,976.2,1,2,34.11,53.63,7,56.83,21.91,93.36,6
212,0,884.1,1,4,926.52,19.2,10,98.18,2.28,93.39,6
3702,0,1069.49,1,3,757.58,37.84,4,46.86,5.73,80.9,6
1779,0,550.0,2,3,441.69,38.75,10,51.23,1.99,93.58,7
486,0,550.0,1,3,863.66,58.14,4,30.08,4.38,88.21,6
1529,1,1636.28,3,3,964.29,24.94,10,11.8,16.8,95.6,8
3133,1,980.7,3,5,971.62,22.44,8,11.42,13.4,87.36,5
6435,0,609.74,2,2,487.58,22.79,10,20.66,33.56,99.9,1
1014,0,550.0,1,2,189.21,40.61,4,72.05,30.93,91.91,2
5241,1,912.43,2,4,675.78,5.82,10,87.95,20.4,96.93,6
3128,1,550.0,1,1,797.71,37.65,7,32.96,32.42,92.23,3
5948,1,550.0,3,5,202.36,4.07,10,70.64,10.41,91.65,5
5240,1,1202.35,2,3,311.3,39.48,8,58.34,4.12,88.17,7
2107,0,1260.53,1,4,594.33,28.69,7,20.67,0.98,89.45,5
3028,0,550.0,1,4,447.05,34.96,6,2.39,4.72,83.56,1
3754,1,781.98,2,4,419.94,43.28,5,62.47,19.1,94.82,3
507,1,692.32,2,4,292.98,16.44,9,39.56,19.89,90.68,7
2237,0,601.06,2,3,749.01,18.73,5,40.68,19.01,89.07,2
4062,0,550.0,1,3,465.91,20.34,7,11.63,31.04,99.9,3
4453,0,1618.08,1,2,694.75,14.36,7,63.0,10.78,99.9,4
2034,1,550.0,3,4,823.43,24.37,8,62.08,28.0,90.15,5
1778,0,550.0,1,3,330.72,39.43,4,68.01,5.11,95.27,1
4635,1,623.86,3,3,133.06,17.15,6,24.32,12.96,89.79,8
5675,1,1420.92,1,4,457.31,10.64,6,18.35,0.07,99.9,2
1674,0,571.32,1,1,46.44,6.49,5,40.84,14.63,88.62,1
2419,0,675.65,1,2,335.64,54.64,8,46.06,18.42,96.69,2
5965,0,583.25,4,1,503.48,34.81,7,24.36,26.0,96.16,4
3815,1,1541.98,2,5,737.18,35.23,10,7.84,1.9,89.41,9
4214,0,1065.62,1,4,420.97,23.96,5,43.04,7.86,98.35,5
1782,0,1400.29,4,2,414.63,15.64,6,99.72,39.42,91.61,7
6331,1,1835.88,1,3,453.04,6.22,8,2.36,16.01,94.22,5
3797,1,743.68,2,4,316.28,11.74,8,33.61,31.15,94.9,6
5799,0,550.0,1,2,520.0,1.79,5,45.32,30.68,99.9,3
3548,0,550.0,1,3,288.76,56.21,7,101.52,33.14,84.66,4
5431,0,1083.87,3,2,156.66,25.99,9,27.67,17.99,95.43,7
2816,1,1883.16,3,2,84.5,10.83,6,48.97,4.14,98.74,7
4045,1,994.94,2,3,507.81,35.25,10,104.41,35.99,92.61,6
4776,0,1303.03,1,2,758.94,23.55,9,66.82,5.21,91.44,3
6557,0,1820.82,1,4,94.82,31.5,7,57.62,12.11,96.25,4
4504,0,909.84,1,3,207.15,73.54,5,91.54,24.16,94.42,4
3680,0,550.0,2,3,174.9,43.05,5,11.91,27.68,98.91,8
2490,1,753.72,3,3,164.54,21.25,9,41.83,7.48,87.58,8
4936,0,1195.37,1,3,520.99,17.63,9,84.16,27.86,99.9,6
3606,0,1255.65,2,2,711.58,50.2,6,46.23,19.13,98.97,6
5583,1,888.27,1,3,101.71,58.76,4,140.28,17.44,89.66,5
5601,0,550.0,3,1,336.71,65.43,6,2.48,11.07,81.06,3
6902,0,872.51,2,1,763.07,50.3,5,57.23,20.9,96.13,2
5112,1,858.39,2,3,395.03,40.71,10,98.43,41.67,90.84,3
3106,1,1581.99,2,4,971.33,12.2,7,73.96,11.8,99.9,8
2701,0,840.12,2,3,1152.0,2.29,8,8.19,25.36,99.87,4
4744,0,581.23,1,3,763.99,17.23,9,59.57,29.59,93.95,1
4928,0,1286.95,1,3,391.19,60.72,4,83.38,8.62,87.52,6
5085,0,1132.62,1,4,1216.87,41.11,6,104.55,34.0,96.14,6
1042,0,807.11,3,4,134.11,26.15,9,33.18,0.22,95.84,6
4806,0,690.57,2,3,714.01,35.1,7,22.49,19.19,95.07,3
4705,0,550.0,2,5,575.87,34.45,7,8.19,5.6,96.08,6
1877,1,1344.58,3,4,498.07,74.67,8,73.69,4.62,89.34,3
4696,1,1630.8,1,4,351.78,5.46,10,27.43,9.14,90.71,6
5222,1,2022.66,2,5,187.89,41.81,9,25.16,10.47,92.21,8
5220,0,550.0,3,2,112.47,41.8,8,65.5,15.97,93.52,5
5516,0,1380.6,3,2,339.5,45.66,6,123.56,4.82,82.85,6
5238,1,1022.41,5,3,504.11,46.27,9,39.65,2.84,93.11,4
692,1,599.5,2,4,267.64,19.0,7,33.63,9.61,97.69,4
5827,1,777.56,2,2,701.26,36.53,6,35.71,23.58,98.67,3
1554,0,550.0,2,4,30.73,36.44,5,59.83,5.28,93.61,3
237,0,1142.34,2,3,543.48,42.96,9,25.78,0.76,94.98,6
6499,1,943.97,1,3,513.09,5.9,2,9.26,21.96,92.72,4
2429,0,793.32,1,3,304.51,46.85,9,39.23,24.07,97.7,7
3001,0,1367.23,1,4,430.85,51.66,6,10.51,11.21,82.48,6
5183,0,1394.28,1,4,170.79,59.91,8,50.15,11.89,84.71,5
1525,1,768.03,2,3,647.89,33.47,6,17.75,50.11,87.96,3
1637,1,550.0,1,2,323.78,23.33,5,98.04,48.26,89.85,1
2092,0,550.0,1,3,91.06,63.37,8,3.47,22.49,96.91,7
3318,0,747.48,3,3,398.93,20.39,9,15.5,12.4,88.15,4
2229,0,550.0,1,3,460.4,48.0,6,53.97,35.89,93.23,5
6410,0,550.0,2,1,358.44,33.05,3,82.54,37.2,89.04,1
2433,0,860.64,3,4,525.55,7.69,6,49.1,38.03,92.46,4
5034,0,1709.55,1,3,564.85,6.4,8,29.54,1.63,94.55,6
2132,1,550.0,4,3,103.65,27.32,10,63.48,15.96,95.59,7
5980,0,550.0,2,2,549.03,47.09,3,37.99,3.28,87.53,1
3942,0,1158.98,1,3,126.54,23.96,10,84.29,20.01,99.9,7
6109,1,761.64,3,3,811.58,6.78,9,74.82,34.44,96.16,9
1707,0,1070.43,1,1,506.56,31.68,6,56.47,27.96,92.62,5
3148,0,550.0,1,1,571.2,14.35,8,56.73,37.18,95.55,6
1588,1,791.8,3,3,388.11,39.59,6,49.64,32.9,95.1,5
2079,1,1417.85,2,5,138.31,41.78,9,57.76,23.05,99.9,9
6108,1,1406.52,3,3,283.62,60.14,9,78.16,11.36,92.03,9
373,1,1036.74,3,5,281.27,36.4,9,9.12,10.75,96.11,4
1310,1,550.0,3,5,906.71,57.87,10,11.52,29.19,93.72,7
572,0,583.03,1,1,432.66,50.65,3,17.21,27.51,84.22,1
5161,1,1393.7,2,4,289.19,51.18,9,58.77,0.4,97.49,7
3113,0,713.43,2,2,646.91,22.11,10,88.57,34.26,96.11,6
413,1,2120.93,3,3,868.57,22.37,9,23.94,1.45,95.96,6
4661,0,785.99,1,3,1001.37,45.85,5,37.87,5.88,84.44,1
4509,1,908.79,4,4,624.47,45.99,9,1.73,25.46,87.3,4
3478,1,1389.66,2,4,616.35,17.23,9,18.98,11.68,99.9,7
1350,0,1330.19,1,3,1112.81,28.24,9,53.99,8.55,99.9,5
4330,0,734.98,1,3,349.9,3.66,5,59.1,48.91,95.18,4
388,1,743.83,3,2,926.96,22.8,3,91.53,12.23,87.08,6
6947,0,1184.13,3,2,569.38,20.35,9,24.52,5.09,86.31,5
1536,1,1586.43,2,6,356.56,51.48,5,22.57,30.01,99.9,7
1474,1,1051.52,3,3,282.39,50.93,10,97.33,30.19,93.01,4
631,1,901.82,2,4,592.31,28.72,8,105.35,4.34,92.18,8
3412,1,852.64,2,5,428.46,24.87,10,15.62,4.32,98.23,5
1126,1,976.42,5,4,22.64,45.98,6,37.52,6.72,91.57,6
4104,0,550.0,2,4,65.08,42.04,6,116.05,20.0,86.07,1
3781,1,969.5,4,3,1020.08,6.17,9,24.19,11.43,97.67,7
5281,0,550.0,2,2,967.79,45.96,3,87.55,51.05,90.6,5
2513,0,1178.57,3,2,366.6,56.68,8,96.47,17.77,91.28,5
1177,1,1383.96,1,4,622.16,66.01,7,47.43,5.94,94.51,4
1375,0,1108.96,1,4,523.92,36.58,3,38.87,26.65,98.25,3
1033,1,550.0,2,3,458.77,28.06,6,131.75,35.61,86.7,5
415,0,984.42,1,4,418.85,37.17,8,32.14,26.94,84.25,4
3715,1,550.0,3,3,138.12,45.04,7,85.35,3.67,94.29,5
888,0,667.55,2,1,635.72,34.58,6,18.54,21.24,97.1,5
2750,1,1150.13,3,2,112.35,5.1,4,56.49,9.46,99.9,3
2773,0,1509.02,1,5,197.52,15.76,8,5.73,9.82,96.17,2
2530,0,1504.65,4,1,699.89,54.47,9,52.02,11.65,99.0,6
281,0,550.0,3,3,381.77,7.15,6,50.5,4.3,95.08,1
472,0,688.57,2,3,711.6,5.13,7,91.73,5.44,90.46,2
3826,0,550.0,2,3,846.59,39.09,7,105.21,16.57,96.5,3
5950,0,1645.35,3,2,560.93,7.52,9,27.54,5.29,92.67,6
2551,1,1040.56,1,3,81.47,8.89,10,32.37,12.19,99.9,9
4992,1,1247.77,2,3,132.9,27.37,9,11.2,27.03,89.12,6
5882,1,1314.29,3,2,614.58,7.08,10,37.32,4.14,96.16,9
6764,0,1753.46,2,4,620.32,56.59,9,43.69,2.78,95.71,9
5417,1,613.54,4,4,15.13,43.29,9,1.94,16.07,94.64,7
1392,1,1226.96,3,4,531.09,14.93,8,62.42,36.45,91.28,8
3988,0,550.0,3,3,223.9,30.03,7,34.92,12.52,91.52,5
3058,0,550.0,2,3,1039.36,0.52,8,8.14,7.87,96.92,6
1704,0,760.38,2,2,412.28,18.79,6,52.42,13.73,92.11,4
2977,1,1005.4,3,2,382.25,2.75,5,90.73,3.22,86.84,4
3586,1,1736.87,3,4,422.22,41.8,10,17.09,25.81,94.28,7
6555,0,550.0,2,3,462.36,24.1,7,30.57,8.05,96.83,5
2457,1,772.35,2,3,1015.04,9.02,8,5.79,3.1,94.86,5
5065,0,840.88,1,3,221.11,56.24,5,44.96,5.59,91.74,6
5192,0,1418.88,2,2,257.58,39.49,5,74.98,11.32,92.73,5
2188,0,550.0,1,4,214.55,31.67,8,17.8,6.54,95.53,4
4156,1,900.27,4,5,199.73,20.22,8,48.95,4.32,92.82,9
5266,0,875.41,1,4,387.68,45.34,6,64.21,40.46,87.91,2
5955,1,1017.03,4,2,478.38,23.05,7,80.57,10.37,99.9,4
1763,1,1760.27,4,3,552.58,30.05,7,90.16,22.93,88.98,2
4906,0,1014.76,1,1,594.49,32.66,9,26.06,21.16,89.17,4
5693,0,1021.4,1,2,493.09,16.5,6,16.08,1.45,91.01,3
6444,0,1076.4,2,3,384.06,53.42,8,2.28,16.98,91.07,4
2684,0,550.0,1,4,189.29,10.67,6,77.62,7.42,87.8,6
2918,1,1703.4,2,2,9.33,63.64,10,29.32,14.54,91.14,4
5792,1,1487.75,2,3,298.14,52.23,5,21.73,19.61,99.9,5
5172,1,1701.92,4,4,700.3,27.23,9,32.86,9.13,98.33,6
4969,1,1526.27,4,5,670.2,43.73,9,37.84,21.98,95.42,6
533,1,1326.19,2,2,444.04,47.6,6,35.46,34.6,96.21,5
5615,0,746.71,2,3,1044.52,7.06,8,14.67,4.41,95.44,8
660,1,1266.03,1,4,193.31,8.01,8,58.56,0.43,98.05,5
4046,1,1183.2,2,4,662.46,36.73,9,42.68,0.19,95.6,8
6798,1,1693.37,3,3,627.71,15.14,7,52.19,14.5,87.49,4
2492,1,2170.86,4,6,929.36,0.92,10,30.47,1.79,94.86,8
2285,1,1289.57,3,3,750.31,18.16,10,54.58,15.02,96.1,7
6074,0,682.98,3,3,1013.88,33.14,7,72.61,5.57,89.49,5
5664,0,1551.35,1,4,814.38,15.43,9,58.2,10.13,96.66,4
6668,1,928.36,3,3,749.46,3.08,8,5.25,3.78,95.27,5
4795,1,761.55,2,5,184.15,0.14,9,15.85,2.04,93.78,4
3060,1,550.0,2,5,1021.67,23.11,6,19.74,31.25,90.16,5
430,1,980.09,3,3,849.4,27.13,9,51.49,40.97,91.91,8
5095,0,550.0,1,3,655.46,52.51,4,18.21,42.24,96.62,4
4939,1,1275.93,3,3,480.66,5.58,8,44.22,3.7,99.68,7
2496,1,637.46,3,3,301.25,39.37,10,25.37,2.28,96.53,5
4890,1,1152.85,3,3,56.09,40.22,5,66.99,15.07,91.85,5
5311,1,1286.97,2,3,536.78,38.73,9,21.45,11.17,95.0,5
580,0,826.35,1,2,667.2,13.62,7,52.03,9.4,91.92,5
3501,0,1334.34,2,3,505.94,25.1,7,62.52,27.84,97.45,6
70,1,1645.41,1,2,528.26,24.92,7,44.71,10.4,93.68,7
4118,1,1750.04,2,3,362.73,22.58,7,62.1,32.02,93.01,5
3378,1,774.1,2,4,280.19,35.74,7,36.78,13.44,91.09,7
547,1,1099.56,2,3,432.09,31.18,8,77.51,16.49,92.35,4
396,1,740.4,2,4,553.4,12.65,10,59.87,15.54,99.9,5
4856,1,1152.86,4,4,897.1,38.81,7,2.24,0.0,99.9,6
3657,0,1413.97,1,3,613.62,12.75,5,1.67,32.52,98.08,6
6999,1,1553.57,4,4,844.06,18.8,10,26.07,24.4,95.73,9
6955,1,1517.74,2,4,0.39,13.21,9,33.58,13.73,99.77,10
5818,0,1675.25,3,1,124.92,16.59,7,82.89,30.48,90.3,2
4544,0,1213.01,2,4,451.41,33.95,8,102.68,7.17,99.9,6
1187,1,1440.88,2,3,234.59,33.33,8,25.91,5.54,95.36,4
4838,0,550.0,3,2,201.87,33.86,7,52.78,15.17,99.9,5
4914,1,1112.53,3,4,646.41,68.92,7,46.19,4.67,91.94,5
2246,0,1054.14,2,2,308.78,44.33,8,46.52,22.4,98.67,5
5517,0,1304.8,2,3,607.91,2.91,5,64.85,25.51,93.55,5
1916,1,605.16,3,2,105.74,28.95,5,29.46,21.95,85.67,4
208,0,1286.25,2,2,213.99,54.66,6,46.13,19.1,91.85,7
6725,1,1451.47,1,3,665.48,28.07,7,39.03,20.66,88.11,4
