,Price,SquareFootage,NumBathrooms,BackyardSpace,CrimeRate,AgeOfHome,DistanceToCityCenter,EmploymentRate,PropertyTaxRate,PreviousSalePrice
46,340473.0578,979.4,1,651.09,76.65,24.69,16.67,93.44,0.96,321053.1422
47,153653.6431,550.0,1,163.98,48.13,81.83,25.94,85.44,2.31,113681.0813
48,315305.8611,1298.5,2,307.21,22.51,33.31,6.76,95.91,1.83,313392.5017
49,470536.3101,1594.17,2,567.07,0.05,25.66,10.42,98.1,2.14,812591.7859
50,321465.721,551.61,3,547.19,35.1,32.35,13.3,96.05,1.55,255872.3588
51,257606.4882,678.71,3,524.98,20.75,54.64,39.12,86.4,1.38,316287.6994
52,141906.3328,550.0,1,402.81,1.55,56.19,25.44,98.3,1.58,30476.04412
53,191199.6967,550.0,1,746.43,46.2,113.42,0.72,90.73,1.96,131907.532
54,214544.3699,1108.17,1,599.08,34.18,41.57,27.91,99.9,2.0,326871.9349
55,197318.2591,556.22,1,233.88,48.64,42.32,13.08,98.9,0.86,181098.2394
56,286606.7534,877.48,2,10.29,41.36,29.63,24.03,89.98,2.77,224654.9278
57,262908.9842,550.0,2,614.11,27.62,88.31,25.87,91.95,1.45,314738.3821
58,104494.1398,550.0,1,152.62,41.49,77.29,6.96,91.23,2.96,18819.4621
59,600382.1171,1747.09,2,911.97,29.24,48.65,4.61,98.27,1.67,776303.338
60,204273.6783,906.49,2,699.35,57.0,107.8,52.74,90.5,1.57,224602.4137
61,113545.7587,550.0,1,272.87,10.16,138.66,40.12,91.94,1.12,26415.70062
62,459577.1829,1044.97,3,672.27,15.47,52.31,15.42,99.9,1.41,755423.1728
63,382797.6505,1554.72,1,633.52,12.7,48.77,20.87,95.78,1.6,543117.7569
64,414962.7495,1222.16,1,620.8,57.28,97.86,5.6,86.51,1.15,406989.4093
65,265124.8389,1193.27,1,514.51,29.36,38.72,15.62,92.71,1.38,177754.2012
66,443253.3088,1486.54,3,590.92,26.56,31.47,3.2,93.34,1.84,668283.1176
67,562151.053,1286.17,3,387.44,21.56,17.5,0.23,95.34,2.06,547769.6363
68,391309.264,1422.5,3,610.96,18.95,13.98,2.36,99.06,2.01,447581.2695
69,293993.3106,1233.39,2,1103.46,42.39,32.33,39.45,91.12,1.89,358485.656
70,356616.8564,1645.41,1,528.26,24.92,44.71,10.4,93.68,1.35,373940.2851
71,158916.1659,550.0,1,422.75,43.77,32.67,35.18,95.9,1.85,71959.48995
72,323339.5808,1032.34,3,221.1,72.3,32.45,20.49,96.54,1.54,469495.1696
73,255996.8651,1535.57,2,867.01,6.26,30.99,18.84,99.58,1.05,368890.6677
74,290455.1881,1513.75,2,462.52,31.62,32.43,32.14,98.58,1.72,457800.9591
76,443988.6118,1016.27,4,401.64,39.96,20.9,31.14,92.1,1.92,430095.2019
77,358519.7049,1864.95,3,855.28,16.03,53.04,19.61,99.37,1.39,668604.752
78,455877.0274,1029.31,4,412.54,44.29,86.13,22.07,91.83,1.55,503257.8749
79,103212.0744,550.0,1,458.89,49.0,76.35,7.26,90.91,1.02,16088.93035
80,239822.1002,972.44,1,181.58,72.18,38.06,35.95,94.53,1.51,191925.6804
81,190286.3937,1287.85,1,587.45,18.23,3.49,18.77,87.73,2.33,137189.5439
82,384299.924,1257.82,1,479.92,8.17,6.75,27.73,90.28,1.66,353181.3941
83,355509.5762,1138.98,2,97.15,43.64,19.46,14.61,95.72,1.36,215467.1332
84,380408.5489,938.17,1,116.05,29.16,87.07,32.27,94.59,0.73,299887.5545
85,255046.6856,897.34,2,465.82,29.83,64.15,27.25,91.53,1.18,116639.8566
86,462244.0767,1391.17,1,494.7,40.47,33.02,4.93,99.9,1.3,407789.724
87,410697.6667,939.61,1,419.2,10.14,62.77,2.35,82.76,0.46,299673.1726
88,341453.6385,708.49,1,937.85,34.27,41.12,0.51,89.85,1.74,393959.0545
89,145164.6243,982.12,1,906.47,37.93,120.0,22.46,81.31,1.61,94574.73851
90,597561.8821,1427.45,3,14.46,30.83,40.0,10.83,89.91,1.76,413956.3415
91,138399.473,550.0,1,1007.36,42.32,1.42,12.24,93.81,1.09,154720.3375
92,200794.2658,1195.55,1,445.23,29.9,76.24,27.14,94.45,1.58,224252.2063
93,280736.3999,897.88,3,292.13,10.98,39.69,13.39,94.46,1.6,381114.9193
94,268783.2257,922.14,2,498.24,36.83,50.06,18.08,88.56,1.36,177938.6605
95,188922.9338,1117.43,2,546.97,32.53,42.19,31.63,91.03,1.59,86268.49103
96,243173.1802,1620.01,2,940.72,35.52,44.53,6.41,95.22,1.02,260011.399
97,482609.8577,979.53,2,673.71,9.91,58.37,7.94,92.24,1.96,460852.3995
98,329468.1081,1408.7,1,1053.13,42.0,74.13,1.46,93.46,1.34,290338.5185
99,168330.4741,783.13,2,372.3,52.89,83.51,8.74,91.1,1.24,79155.29125
101,105659.5162,628.88,2,179.77,41.63,45.89,28.63,92.71,2.01,24371.03455
102,416597.0363,1138.0,2,300.71,10.83,12.93,13.93,99.43,1.73,495549.3666
103,283619.0625,1761.22,1,1100.2,8.96,44.13,7.79,94.47,1.43,276320.7584
104,515034.703,1294.28,3,781.13,25.49,13.26,1.9,89.12,1.32,762024.2044
105,622313.4809,1135.3,3,756.1,41.46,0.16,10.72,94.64,1.34,507695.363
106,281768.783,550.0,1,935.23,51.79,63.93,20.88,91.9,2.66,176339.6105
107,363985.391,778.54,3,861.69,25.78,108.38,0.79,93.43,1.56,436796.0704
108,372486.1554,1866.18,2,1059.36,41.54,21.74,24.62,91.43,1.41,365885.3664
109,517017.3736,1458.01,2,360.62,42.61,94.43,3.71,99.9,1.83,379079.4811
110,96581.15482,1171.46,1,656.11,23.59,38.31,14.56,91.04,1.27,12609.68017
111,189805.7933,603.88,3,663.77,49.29,58.78,5.71,99.9,1.67,168635.6435
112,492082.8928,1216.56,2,624.93,8.96,69.65,20.57,98.1,1.04,618653.7437
113,98513.09269,550.0,2,500.92,9.39,14.3,15.68,95.91,1.99,10648.1766
114,334199.9353,1289.46,1,667.17,41.11,46.35,23.49,86.95,1.36,226867.9175
115,138503.6879,710.29,1,588.34,43.08,63.61,8.06,98.34,1.53,53172.54135
116,329886.498,1974.31,1,926.42,29.23,7.79,0.73,95.19,0.71,410890.9745
117,470665.0211,1364.59,2,89.46,39.6,57.09,7.57,97.3,0.95,537732.1574
118,197143.7222,568.77,2,58.05,75.0,0.02,6.3,87.0,1.9,166080.2134
119,209382.3033,762.27,2,545.06,27.68,60.25,20.37,86.13,1.73,134129.1809
120,219051.4837,860.5,1,316.29,28.98,66.86,15.93,86.46,1.41,281249.714
121,241370.1502,930.21,2,566.0,40.66,34.76,26.76,94.9,1.6,187134.6322
122,348708.1724,1393.42,3,708.88,0.91,11.7,0.8,99.9,1.76,243243.8481
123,188197.7996,1012.32,1,256.97,50.62,59.56,3.9,91.81,1.27,342711.0883
125,153304.2906,1032.08,1,530.8,21.44,4.13,14.57,94.57,1.58,47457.14311
126,605064.1428,1642.1,3,1076.98,30.47,8.38,3.18,82.12,0.74,489003.6291
127,660109.3536,1526.53,2,1276.59,13.63,71.51,2.5,90.55,1.27,495607.7539
128,195802.9462,550.0,2,626.78,13.12,29.23,3.56,99.9,2.08,166754.3776
129,265790.3215,808.65,1,624.84,34.01,21.94,10.78,87.85,1.99,255977.0197
130,167792.6953,550.0,2,113.42,34.42,16.15,16.07,94.11,1.24,129957.5696
131,244689.5845,1239.22,1,704.29,15.15,38.71,14.52,96.98,2.57,389338.7871
132,249935.6617,1004.76,1,838.79,30.1,29.4,21.78,99.11,1.45,136462.0516
134,452288.5216,1906.63,2,308.92,64.06,37.18,11.48,89.51,2.39,584209.071
135,172692.171,550.0,3,290.28,17.7,5.79,16.49,89.02,1.02,81668.28711
136,216118.7539,782.67,1,510.22,33.65,41.73,20.43,94.48,1.59,150720.0561
138,365858.4583,1233.94,2,963.69,40.04,44.03,49.67,91.71,0.89,268725.3363
139,99267.04837,550.0,3,242.65,45.42,3.12,17.34,91.12,1.55,22919.63691
140,98169.57031,690.15,2,215.54,7.89,54.57,29.26,89.36,0.93,12116.32176
141,137434.8608,1536.98,1,267.89,23.77,93.62,25.63,93.45,2.04,64238.44087
142,267385.6889,718.96,4,786.18,44.73,42.3,31.59,97.29,1.17,458658.1941
143,456955.7679,838.39,3,347.59,20.33,10.5,1.85,93.1,1.49,521828.1684
144,148261.471,1064.61,1,401.68,7.05,0.67,9.93,97.96,1.65,124805.2449
145,372086.4342,1014.11,3,908.45,17.96,64.42,38.18,94.87,1.72,277662.226
146,92938.70913,960.39,2,56.01,48.45,45.56,19.38,99.9,1.57,2548.52884
147,302758.8424,854.37,1,300.71,23.05,34.93,7.47,91.53,1.18,250640.666
148,450049.6827,1929.23,3,564.42,51.54,11.34,2.89,96.37,1.56,741284.5407
150,174263.9779,550.0,1,288.91,45.92,68.46,25.51,89.52,1.91,144357.5573
151,477659.6964,1564.88,4,697.54,37.87,39.27,10.11,86.3,1.73,454004.0592
152,299931.0375,1447.86,2,717.05,12.55,32.86,6.49,94.7,0.81,517052.145
153,256483.9589,1195.99,1,604.53,16.13,40.76,15.44,99.9,1.77,198484.8755
154,236691.7614,917.28,1,662.34,10.57,8.89,36.92,94.55,1.83,145771.4042
155,264839.3572,1456.13,1,505.8,18.49,17.64,18.58,93.8,1.82,124572.3536
156,219115.0432,946.99,1,507.04,72.72,1.59,16.94,93.96,0.72,231124.0805
157,111551.2801,752.35,2,723.63,53.33,61.57,39.25,98.83,1.03,21393.39346
158,173749.1011,550.0,2,80.0,62.86,36.86,8.79,89.06,0.65,124793.2442
159,163923.6526,866.92,2,490.14,28.7,29.55,7.82,83.79,2.1,125056.847
160,275767.8705,995.68,1,110.33,38.76,9.83,9.36,82.78,0.6,299085.7757
161,268596.5887,574.35,1,792.79,6.61,9.45,16.48,95.41,0.97,246772.9168
162,152156.6843,550.0,3,752.61,25.2,45.4,8.39,91.15,1.63,83149.72661
163,257395.0336,785.79,2,329.29,29.53,56.2,4.07,93.31,1.33,364205.5907
164,386716.6117,948.01,3,735.23,37.11,61.08,0.49,91.44,1.27,275295.1124
165,450120.2274,1323.84,4,541.45,30.8,72.15,1.95,99.7,0.99,471436.2409
166,165109.7744,550.0,1,424.8,35.81,53.91,10.86,90.25,2.11,89075.16513
167,573083.1594,1516.73,1,149.41,25.37,32.96,2.07,90.16,1.02,476003.0198
168,279091.9309,1530.02,1,175.19,45.09,101.8,27.47,92.41,2.36,331009.6354
169,292393.51,1223.17,2,100.38,36.79,41.37,22.61,93.04,0.98,165471.2967
170,280145.9092,550.0,1,430.67,30.91,71.45,23.98,96.57,1.84,150534.813
171,425329.428,841.64,2,642.0,28.13,51.07,0.3,89.03,1.7,268959.8686
172,110414.4485,550.0,1,192.6,34.62,86.63,48.12,99.29,1.89,46990.28354
175,235149.0994,857.78,3,615.54,27.79,25.63,12.94,94.34,1.18,282915.8867
176,556413.2707,1194.44,4,565.41,21.81,3.8,13.02,92.97,2.17,439887.9722
177,268927.7861,550.0,3,652.27,14.79,4.84,13.41,95.65,0.94,315626.4274
178,380920.0576,652.85,3,655.21,21.09,68.43,6.85,96.15,2.38,311502.4498
179,197633.9779,1198.14,2,137.93,6.15,54.8,5.9,94.9,1.65,90385.53636
180,198687.8753,1413.38,2,380.84,36.26,39.59,20.49,95.51,1.44,230580.4248
181,313323.3904,1259.71,3,482.01,33.45,10.05,3.39,88.1,0.5,529601.5947
182,184014.233,1151.89,1,782.58,70.69,63.99,22.19,94.01,1.02,113773.1377
183,338485.1269,1732.38,1,432.37,25.88,58.8,33.94,96.77,1.83,245750.9113
184,423017.0623,1493.58,3,129.92,45.13,82.23,17.26,98.65,1.36,574095.2573
185,252873.0692,1435.02,1,820.63,49.85,43.35,0.23,95.63,2.37,149189.4196
186,144270.6511,966.05,2,366.65,56.62,7.85,40.41,93.52,2.18,43032.2054
187,511443.7364,1416.23,4,461.51,34.96,2.43,14.07,99.9,0.57,464984.3714
188,247938.1754,588.65,4,577.26,24.47,53.95,12.29,87.31,1.53,363555.3124
189,227842.6556,671.09,2,1075.03,44.77,46.21,19.07,98.68,1.88,144111.4723
190,313708.945,652.65,2,854.55,48.39,77.11,3.21,89.19,1.62,210630.5392
191,223576.1619,1040.39,2,363.11,10.43,12.24,1.5,86.69,0.6,249929.0909
192,542695.4537,1325.64,2,568.87,43.44,9.83,17.53,87.37,1.47,386595.0828
193,379709.2558,1778.46,1,657.76,63.4,53.84,3.29,91.84,2.32,727254.452
194,220975.2677,550.0,2,699.71,32.22,101.98,16.26,94.4,1.5,176564.7709
195,300755.5043,1427.72,3,659.9,11.33,36.95,20.68,92.33,2.59,378364.4374
196,127334.7909,550.0,1,621.03,39.89,52.95,20.42,94.63,2.02,74694.14436
197,210881.4665,1481.33,1,373.24,21.49,39.41,14.53,83.86,1.06,167742.1176
198,287109.9397,1176.46,2,660.02,26.29,40.96,29.55,93.88,1.68,410271.0218
199,323479.2753,1593.06,3,973.46,10.63,72.49,8.12,99.8,1.36,557311.7243
200,468984.6839,1492.0,5,610.47,17.85,1.82,7.29,84.79,1.11,818639.7382
201,157124.4944,693.72,2,867.88,27.4,6.11,15.4,92.96,1.8,70311.93644
203,290806.1083,550.0,1,592.31,58.94,74.28,46.55,90.79,1.8,290300.5712
204,323473.5061,1331.18,2,88.42,3.0,33.76,9.35,89.09,1.94,425879.1112
205,312489.6979,985.8,2,380.07,33.39,1.45,25.72,99.9,1.3,252965.0547
206,358084.3671,1379.4,2,39.47,38.54,36.29,24.7,92.66,1.43,219080.4787
207,276698.6903,645.97,1,306.13,39.96,65.6,2.79,91.41,0.69,218044.8076
208,216506.6648,1286.25,2,213.99,54.66,46.13,19.1,91.85,1.52,227987.1312
209,237931.6911,1103.49,1,1027.16,9.82,24.47,26.09,84.54,2.48,107788.9879
210,191119.5959,1550.84,1,480.93,41.67,71.79,15.21,92.67,1.54,359658.7499
211,288481.2046,976.42,2,272.46,18.71,24.42,36.69,95.31,1.66,166325.4772
212,256648.7761,884.1,1,926.52,19.2,98.18,2.28,93.39,1.3,185839.3264
213,670334.3299,1399.82,3,546.74,7.05,21.09,10.19,98.56,1.15,555020.7178
215,172624.5777,593.12,2,205.52,48.09,15.01,9.78,97.62,0.93,114717.0433
216,340874.8921,550.0,2,374.41,25.36,71.2,8.27,93.87,1.6,289172.6693
217,158374.7565,600.01,1,922.82,23.37,39.03,4.57,91.45,1.4,193743.3205
218,214599.2362,1034.3,1,193.7,21.15,24.45,1.56,98.29,1.68,280297.0426
219,657127.9763,1761.18,3,48.26,15.11,46.07,7.59,87.61,1.58,661316.4645
220,175680.1302,906.93,1,851.72,40.62,29.21,10.02,95.75,1.89,96892.59627
221,318949.998,988.48,1,597.16,1.22,57.42,20.55,87.73,1.28,195707.0025
222,409990.2258,1900.51,1,815.84,32.11,49.15,8.39,99.9,0.73,344288.9252
223,129221.7779,1316.02,1,377.5,30.89,86.61,7.37,99.9,2.05,38434.12672
224,153917.287,1099.39,2,473.78,30.55,77.29,33.23,88.82,0.62,44376.00143
225,128863.451,1344.89,1,102.77,14.53,82.25,17.88,91.66,2.65,68342.28086
226,104735.1932,550.0,1,342.05,37.68,11.35,47.23,91.46,2.42,-4390.753336
227,680379.2709,1411.04,1,465.67,37.83,63.68,2.26,91.82,2.3,434924.7769
228,324162.0997,550.0,3,547.29,39.86,14.48,19.81,99.9,1.93,309042.0764
229,145990.4461,550.0,3,581.43,1.24,50.41,22.87,96.36,1.75,77934.25627
230,373332.3341,1199.21,2,562.34,66.9,59.89,39.01,84.63,0.82,236476.2493
231,160332.0108,581.4,1,454.75,9.17,58.29,27.87,96.59,0.9,94932.02301
232,488214.642,2299.19,2,315.0,36.45,85.36,32.72,81.58,1.8,320523.9238
233,383062.9673,1114.36,5,505.49,26.67,37.75,19.23,99.9,1.53,414937.2676
234,130991.5648,550.0,1,71.09,31.67,136.09,27.2,95.22,1.68,75510.56458
236,543193.7648,1812.59,2,641.93,52.88,139.03,28.98,99.67,1.41,346251.7547
237,265068.4697,1142.34,2,543.48,42.96,25.78,0.76,94.98,1.87,324905.1287
238,226312.606,830.87,1,548.86,34.28,50.18,26.37,96.39,2.02,148245.4803
239,381030.2686,1138.02,2,624.6,28.96,70.5,12.2,90.6,1.33,419672.9771
240,518293.9497,1467.33,2,153.22,46.37,37.99,19.18,99.9,1.09,530541.6981
241,156581.1599,720.82,2,875.02,33.01,64.39,18.36,92.89,1.75,117689.5115
242,225726.3565,550.0,4,1043.79,46.13,52.41,5.03,91.57,0.98,141694.2808
243,489889.2199,1120.54,3,556.24,27.84,35.65,15.37,94.9,1.51,607833.9882
244,660281.9581,1529.95,4,182.81,41.32,21.28,16.32,92.75,1.1,559467.9153
245,215416.4879,1913.94,1,468.23,2.21,0.86,6.35,85.61,1.08,173658.5605
246,155116.99,868.62,2,206.64,30.34,24.76,7.67,99.9,1.79,63591.73286
247,640803.1033,1599.75,3,802.63,23.38,53.49,28.04,99.9,1.0,657176.4633
248,301380.6057,550.0,2,447.39,27.65,23.59,33.71,98.95,1.84,233843.1976
249,551667.0323,1484.37,5,220.67,4.54,37.66,2.99,99.9,1.52,401009.8324
250,298345.4482,1016.49,2,499.0,17.68,68.21,16.87,95.96,1.13,379226.5125
251,288106.0885,1284.7,3,453.26,28.69,45.37,11.43,96.58,0.8,479977.5765
252,566227.9255,1146.53,2,493.91,32.84,38.74,11.25,92.68,0.31,452280.9146
253,236381.0551,1028.83,2,739.36,10.24,65.38,23.16,99.9,1.63,350794.0185
254,165044.0344,1220.33,1,470.58,3.27,29.08,28.17,94.51,2.1,130627.9569
255,458112.4045,648.52,2,756.06,64.15,23.21,30.69,96.21,1.33,305760.6912
256,235650.2469,1540.02,1,956.39,25.36,3.63,10.65,90.56,2.6,398530.7188
257,348718.2566,1269.7,3,792.87,29.09,44.28,8.33,86.42,1.63,219957.5217
258,336313.9307,722.64,2,254.76,40.79,81.42,46.05,94.02,1.9,206763.2668
259,211883.045,1067.3,3,665.83,11.73,20.03,29.33,94.46,1.09,204894.7445
260,135240.9527,550.0,2,175.5,45.15,73.93,25.49,94.04,2.48,44186.82009
262,185061.8277,1107.73,1,510.97,14.31,101.21,23.65,96.34,1.56,127455.8677
263,249029.7925,550.0,2,129.04,31.96,21.36,11.46,94.35,1.85,186088.4746
264,128433.5857,786.48,3,247.96,34.43,58.07,26.77,99.15,1.26,61155.96443
265,119661.8405,550.0,1,427.19,33.22,3.64,14.83,86.33,0.96,24879.27194
266,203073.0997,550.0,4,683.43,6.52,99.07,31.77,99.9,1.27,131526.127
267,223625.846,896.66,2,780.08,24.65,66.69,17.39,91.35,1.61,166049.7739
268,114541.7742,550.0,2,136.88,25.14,98.56,22.28,90.32,2.47,20875.65572
269,115209.9412,715.11,2,993.74,48.18,52.98,22.15,87.58,1.98,23771.29138
270,184676.9077,1113.4,1,479.39,30.42,6.75,25.91,97.69,1.9,160828.1771
271,483538.6537,593.3,3,757.83,29.29,36.45,11.09,91.46,1.14,291964.4915
272,252206.3363,996.4,2,462.37,34.75,121.06,36.63,83.16,1.49,132725.175
273,299416.7236,807.07,3,445.1,0.3,59.04,30.26,86.31,0.97,300135.8299
274,157820.79,550.0,1,678.37,2.88,66.75,46.7,97.92,1.15,60396.85087
275,239896.6105,1149.13,2,727.37,24.04,38.34,16.9,94.0,1.49,323854.6259
276,322889.1985,1241.4,3,663.77,49.7,64.95,22.4,99.9,1.84,357557.789
277,207397.7233,550.0,2,290.65,27.16,108.3,0.82,92.38,1.09,126751.1874
278,194645.6957,550.0,1,459.12,31.68,43.19,34.65,94.78,2.75,230712.9661
279,163370.4662,550.0,1,258.23,21.5,64.94,21.91,94.33,2.1,257393.4347
280,340631.8618,980.86,2,717.95,31.73,14.69,23.59,93.12,2.04,296259.5186
281,206316.8392,550.0,3,381.77,7.15,50.5,4.3,95.08,1.18,122437.1826
282,381358.9809,1236.22,1,344.69,5.85,16.1,13.77,91.36,2.27,458543.061
283,239145.3146,759.92,1,237.53,19.42,72.37,20.92,99.9,2.22,175073.5731
284,348803.1786,1508.69,4,581.1,9.35,46.99,23.86,90.06,1.38,409827.5124
285,222458.8726,748.24,1,109.07,7.19,56.47,8.84,90.36,2.25,217387.6399
286,579176.5925,1396.47,3,989.85,1.44,111.41,15.64,97.34,1.63,352774.319
287,397345.969,2043.27,2,715.98,43.17,8.58,20.28,99.9,1.19,510303.3374
288,125803.2263,550.0,2,279.77,23.71,10.11,29.45,88.13,1.2,24010.94675
289,349805.471,1284.04,2,727.56,44.01,11.36,10.13,99.9,1.49,203291.9003
290,373841.5628,1024.7,1,827.3,12.85,13.88,9.28,99.9,0.88,275005.5216
291,168185.3541,604.96,4,511.42,36.02,47.66,2.78,92.78,2.12,91640.00098
292,378609.6357,1179.33,3,424.35,33.38,7.33,33.96,98.96,0.8,333127.4127
293,188442.1053,694.97,2,489.78,66.84,48.91,21.78,87.59,1.43,233305.0603
294,247234.9113,550.0,2,622.44,45.71,57.65,13.26,96.1,2.68,202498.0362
295,361249.6732,1236.56,1,533.95,18.63,44.17,32.49,93.48,1.51,344093.8166
296,360643.2227,550.0,2,130.93,21.83,7.03,5.71,95.18,1.25,252071.4323
297,581250.1542,1752.42,3,555.27,23.14,48.24,27.07,92.94,2.35,481329.7949
298,215335.419,630.11,2,470.22,0.39,27.9,2.76,92.16,0.85,285468.523
299,384455.619,784.31,2,1012.43,37.14,54.89,6.54,89.89,2.03,330777.6192
300,424643.659,1431.14,2,642.51,52.27,54.06,5.18,91.51,1.46,426194.5944
301,299949.6785,613.65,3,167.43,21.39,4.56,10.47,98.24,1.88,167425.802
302,203699.5856,1327.51,2,1132.4,15.69,16.16,1.34,99.9,1.58,281191.9831
303,204657.2539,550.0,1,239.34,50.25,22.23,34.43,91.25,1.37,125626.4582
304,225922.8165,550.0,2,834.41,35.69,14.31,9.29,99.9,1.42,243369.611
305,299791.0386,1358.08,1,524.26,4.39,50.96,18.75,92.79,0.98,498626.2743
306,332625.6738,550.0,1,500.8,55.26,43.13,26.28,89.49,2.0,186449.7247
307,387338.4613,1653.52,3,938.48,39.59,10.34,24.35,99.9,0.65,321837.4339
308,723129.0195,1258.04,4,590.21,40.66,17.65,30.54,88.71,1.21,620069.5958
309,303263.1002,1026.89,2,149.28,31.68,51.37,7.32,92.33,1.05,247504.6547
310,273342.7544,1455.53,1,629.97,26.49,63.87,16.17,95.74,1.22,170605.7671
311,255571.3046,1757.89,2,442.04,17.84,45.33,15.94,95.03,0.35,319067.1456
312,474113.0391,1179.81,4,235.87,28.24,61.55,9.9,99.9,2.22,382124.4309
313,542634.4865,1850.41,4,380.26,12.84,22.38,0.61,86.96,1.25,412166.0012
314,250513.3016,829.58,2,384.04,23.32,81.71,18.52,94.06,2.07,201790.0964
315,97058.08872,805.65,2,539.13,48.83,21.07,18.09,88.33,1.38,12089.47772
316,451607.1293,969.23,2,520.41,39.87,45.53,38.54,86.82,1.46,775322.5786
317,108490.1181,550.0,2,464.48,17.37,58.57,9.18,96.32,0.75,31465.79415
319,491275.8051,1116.13,2,911.13,56.28,2.84,12.3,91.83,1.71,517182.2055
320,237298.1737,899.53,3,328.43,4.05,27.81,16.74,93.74,0.62,279262.1358
321,452040.361,1389.16,2,708.77,32.33,51.28,16.57,92.41,1.88,362843.6877
322,339942.7401,1174.77,2,519.3,33.31,108.3,28.59,93.35,1.71,478688.3641
323,619118.0958,957.72,2,243.74,46.61,27.72,27.06,95.54,1.67,416090.5233
324,308210.9175,550.0,1,200.14,53.6,34.2,38.95,92.86,0.75,323212.685
325,166249.1423,696.71,1,1109.8,50.24,56.54,31.78,96.92,1.4,59232.90194
